Player,Year,Pos,Def_Sk,Tkl_Tot,Tkl_Ast,Tkl_Comb,Tkl_TFL,Tkl_QBHits,Def_Int,Def_Yds,Def_TD,Def_PD,DefSnap%,STSnap%
LattMa01,2017,CB,,43,9,52,1,0,5,85,1,18,0.708125,0.10250000000000001
HumpMa00,2017,CB,0.0,30.0,4.0,34.0,1.0,0.0,2,33,0,11,0.544375,0.37
JackAd00,2017,CB,,61,9,70,1,0,0,0,0,17,0.9375,0.47562499999999996
ConlGa00,2017,CB,0.0,5,2,7,0,0,0,0,0,1,0.09375,0.010625
WhitTr01,2017,CB,,53,16,69,3,0,4,86,0,18,0.9862500000000001,0.18312499999999998
KingKe01,2017,CB,0.0,22,6,28,1,0,0,0,0,5,0.360625,0.160625
JoneSi00,2017,CB,0.0,2,0,2,0,0,,,,,0.026875,0.021875
WilsQu01,2017,CB,0.0,19,3,22,2,0,1,33,0,6,0.3725,0.041875
TaboTe00,2017,CB,0.0,12,2,14,0,1,,,,,0.16749999999999998,0.16187500000000002
AwuzCh00,2017,CB,0.0,14,11,25,0,0,1,0,0,7,0.305,0.12625
WithAh00,2017,CB,0.0,28,4,32,0,0,2,42,0,7,0.6125,0.243125
MoreFa00,2017,CB,0.0,7.0,7.0,14.0,1.0,1.0,0,0,0,1,0.052500000000000005,0.736875
LewiJo01,2017,CB,0.0,48,6,54,2,0,1,25,0,10,0.70625,0.08
SuttCa00,2017,CB,0.0,4,1,5,0,0,0,0,0,1,0.115625,0.085
TankCo00,2017,CB,0.0,24,7,31,1,0,0,0,0,7,0.6125,0.068125
DougRa00,2017,CB,0.0,23,2,25,0,0,2,7,0,11,0.40625,0.199375
LangBr00,2017,CB,,3,0,3,0,0,,,,,0.1,0.395
WilsHo00,2017,CB,,,,,,,,,,,,
KazeDa00,2017,CB,0.0,14.0,9.0,23.0,0.0,0.0,,,,,0.1575,0.5787500000000001
EldeCo00,2017,CB,,,,,,,,,,,,
HairNa00,2017,CB,,26,9,35,2,3,1,21,0,5,0.5075000000000001,0.07750000000000001
AgneJa00,2017,CB,,10,0,10,0,0,,,,,0.06125,0.43437499999999996
ClarJe04,2017,CB,,,,,,,,,,,0.0,0.01
JoneDe02,2017,CB,,,,,,,,,,,0.0,0.04125
WhitMa03,2017,CB,,,,,,,,,,,,
MyriJa00,2017,CB,,,,,,,0,0,0,1,0.030625,0.138125
TochJa00,2017,CB,,,,,,,,,,,,
LattMa01,2018,CB,0.0,49,10,59,1,0,2,0,0,12,0.8725,0.11624999999999999
HumpMa00,2018,CB,0.0,31,6,37,3,0,2,0,0,15,0.7050000000000001,0.073125
JackAd00,2018,CB,,67,6,73,2,0,2,7,0,10,0.9099999999999999,0.24125000000000002
ConlGa00,2018,CB,,24,13,37,0,0,3,64,1,15,0.6656249999999999,0.0975
WhitTr01,2018,CB,0.0,44,10,54,1,0,2,37,0,8,0.9462499999999999,0.19874999999999998
KingKe01,2018,CB,,14,3,17,1,0,1,0,0,2,0.280625,0.099375
JoneSi00,2018,CB,0.0,21,4,25,2,0,0,0,0,2,0.31625000000000003,0.046875
WilsQu01,2018,CB,0.0,20,8,28,0,0,1,0,0,2,0.43999999999999995,0.13875
TaboTe00,2018,CB,0.0,24,4,28,0,0,,,,,0.284375,0.37812500000000004
AwuzCh00,2018,CB,0.0,57,14,71,0,0,1,0,0,11,0.855,0.254375
WithAh00,2018,CB,0.0,30,7,37,0,0,0,0,0,4,0.663125,0.24125000000000002
MoreFa00,2018,CB,0.0,37,21,58,0,0,1,16,0,5,0.8150000000000001,0.10312500000000001
LewiJo01,2018,CB,,10,2,12,0,0,1,7,0,1,0.179375,0.21000000000000002
SuttCa00,2018,CB,0.0,20,2,22,0,2,1,0,0,3,0.22,0.46375
TankCo00,2018,CB,0.0,2,3,5,0,0,,,,,0.025625,0.18875000000000003
DougRa00,2018,CB,0.0,48.0,10.0,58.0,6.0,0.0,3,14,0,4,0.513125,0.275625
LangBr00,2018,CB,,3,0,3,0,0,,,,,0.0,0.49833333333333335
WilsHo00,2018,CB,,,,,,,,,,,,
KazeDa00,2018,CB,0.0,60,22,82,1,0,7,54,0,10,0.909375,0.190625
EldeCo00,2018,CB,0.0,3,0,3,0,0,,,,,0.063125,0.4625
HairNa00,2018,CB,0.0,25,5,30,0,0,0,0,0,1,0.360625,0.27375000000000005
AgneJa00,2018,CB,,7,0,7,1,0,0,0,0,1,0.11812500000000001,0.14625
