Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
Aaron Ross,398.0,NYG,28,DB,49,26,6,109,2,23.25,21,0,1,0,0,0,2.5,140,114,26,9,7,0,2010
Aaron Rouse,278.33,2TM,25,FS,41,18,4,173,1,44.33,11,0,0,0,0,0,1.0,143,110,33,4,3,0,2009
Aaron Williams,234.5,BUF,24,FS,49,44,6,69,0,15.0,28,3,1,0,0,0,0.0,222,162,60,4,0,0,2014
Adam Archuleta,71.0,STL,27,SS,58,55,2,24,0,6.0,18,3,2,4,162,2,11.5,340,297,43,26,0,0,2004
Adam Jones,246.33,DAL,25,LCB,39,34,4,130,1,27.67,30,2,12,6,22,0,1.0,148,121,27,5,1,0,2008
Adrian Colbert,462.25,NYG,27,DB,33,19,0,0,0,0.0,8,2,0,1,0,0,0.0,93,74,19,1,0,0,2020
Adrian Wilson,137.5,ARI,25,SS,62,45,9,194,1,30.75,32,5,0,2,35,1,3.0,310,243,67,15,0,0,2004
Ahmad Black,588.33,TAM,24,DB,24,3,2,34,0,11.33,5,1,0,1,0,0,0.0,53,41,12,0,1,0,2013
Ahmad Carroll,360.67,2TM,23,DB,35,28,3,38,0,12.67,21,0,1,1,40,1,3.0,104,96,8,7,1,0,2006
Ahmad Dixon,927.0,2TM,23,SS,8,0,0,0,0,0.0,0,0,0,1,0,0,0.0,3,2,1,0,0,0,2014
Ahmed Plummer,116.25,SFO,27,LCB,61,59,12,130,1,23.0,60,0,0,1,0,0,0.0,271,237,34,3,0,0,2003
Akeem King,773.5,SEA,26,DB,21,1,0,0,0,0.0,1,0,0,0,0,0,0.0,22,17,5,0,1,0,2018
Akwasi Owusu-Ansah,824.5,2TM,23,DB,14,2,0,0,0,0.0,0,0,0,0,0,0,0.0,22,15,7,0,0,0,2011
Al Afalava,569.33,TEN,25,DB,29,15,1,0,0,0.0,8,1,0,1,43,0,2.0,73,54,19,3,3,0,2012
Alan Ball,567.25,DAL,25,FS,44,19,2,27,0,6.75,8,1,0,0,0,0,0.5,89,74,15,0,1,0,2010
Alfonso Marshall,846.0,CHI,23,DB,7,0,0,0,0,0.0,0,0,0,0,0,0,0.0,7,4,3,0,0,0,2004
Alfonzo Dennard,352.33,NWE,25,DB,29,20,5,95,1,29.0,17,1,0,1,0,0,0.0,90,81,9,4,0,0,2014
Alphonso Smith,533.75,DET,27,DB,42,11,8,112,2,18.0,19,2,1,2,9,0,0.0,87,70,17,5,1,0,2012
Alterraun Verner,106.0,TEN,25,RCB,64,47,11,124,1,17.0,51,2,0,5,81,1,0.0,288,241,47,12,0,0,2013
Amari Spievey,265.0,DET,24,DB,35,26,5,82,0,18.67,7,0,0,1,0,0,1.0,142,117,25,3,5,0,2012
Andre Dyson,175.25,TEN,25,LCB,62,60,16,260,3,36.75,59,3,0,0,0,0,1.0,226,200,26,4,0,0,2004
Andre Hal,306.25,HOU,25,FS,61,38,9,100,1,15.5,26,2,0,0,0,0,1.0,176,124,52,6,2,0,2017
Andre Lott,649.33,WAS,25,DB,31,3,0,0,0,0.0,1,0,0,0,0,0,1.0,37,32,5,1,0,0,2004
Andre Woolfolk,432.5,TEN,26,DB,39,12,3,32,0,8.0,18,1,0,1,8,0,0.0,136,108,28,2,0,0,2006
Andre' Goodman,386.25,DET,27,LCB,43,21,5,19,0,5.75,28,1,0,2,35,0,0.0,133,115,18,2,0,0,2005
Anthony Gaitor,751.5,TAM,24,DB,12,2,0,0,0,0.0,4,0,0,0,0,0,0.0,12,11,1,0,0,0,2012
Anthony Henry,158.75,CLE,28,LCB,61,39,17,283,1,42.75,49,3,0,0,0,0,0.0,250,210,40,4,0,0,2004
Anthony Malbrough,449.0,CLE,24,DB,9,1,0,0,0,0.0,1,0,0,0,0,0,0.0,21,21,0,0,0,0,2000
Anthony Smith,400.25,2TM,26,DB,56,16,6,124,0,25.0,11,1,0,2,0,0,0.0,148,116,32,2,3,0,2009
Antoine Bethea,91.5,IND,25,FS,59,59,11,104,0,21.75,22,2,0,2,0,0,0.0,350,256,94,7,1,0,2009
Antoine Cason,153.75,SDG,25,RCB,64,33,10,211,1,43.25,44,2,1,0,0,0,0.0,236,200,36,6,0,0,2011
Antone Exum,773.0,SFO,26,DB,29,3,0,0,0,0.0,0,1,0,3,0,0,0.0,23,19,4,1,0,0,2017
Antonio Allen,401.67,NYJ,26,LCB,38,18,1,23,1,7.67,13,1,0,1,0,0,2.5,110,82,28,4,3,0,2014
Antonio Cromartie,287.75,SDG,25,RCB,64,39,15,227,2,34.5,42,0,3,2,2,1,0.0,165,150,15,0,0,0,2009
Antonio Perkins,957.0,CLE,24,DB,5,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,2006
Antrel Rolle,160.75,ARI,26,FS,53,44,8,323,4,37.25,28,2,0,0,0,0,0.0,266,236,30,5,1,0,2008
Antwan Harris,663.25,NWE,26,DB,52,2,1,11,0,2.75,3,0,0,1,0,0,1.0,52,37,15,1,0,0,2003
Antwaun Molden,694.75,NWE,26,DB,48,2,2,40,0,6.75,3,0,0,2,0,0,0.0,64,48,16,0,0,0,2011
Aqib Talib,295.0,TAM,25,LCB,54,41,17,277,3,31.0,46,1,0,1,-5,0,0.0,161,143,18,5,0,0,2011
Aric Morris,527.25,NWE,26,DB,51,10,1,33,0,8.25,3,0,0,1,0,0,1.5,96,73,23,4,0,0,2003
Arturo Freeman,433.0,MIA,27,DB,56,20,1,0,0,0.0,13,2,0,4,-5,0,3.5,149,115,34,4,0,0,2003
Asa Jackson,818.67,BAL,26,DB,14,6,0,0,0,0.0,3,0,0,0,0,0,0.0,30,24,6,1,0,0,2015
Asante Samuel,234.5,NWE,25,DB,59,39,16,224,2,34.25,61,4,0,0,0,0,0.0,191,169,22,8,0,0,2006
Asher Allen,264.0,MIN,23,LCB,36,21,4,30,0,10.0,11,1,0,0,0,0,1.0,134,111,23,1,0,0,2011
Ashton Youboty,726.25,BUF,25,DB,30,7,1,19,0,4.75,7,1,0,0,0,0,2.0,58,51,7,4,3,0,2009
B.J. Tucker,762.5,SFO,26,DB,10,1,0,0,0,0.0,2,0,0,0,0,0,0.0,19,15,4,0,0,0,2006
B.W. Webb,573.0,NOR,26,DB,49,10,2,7,0,1.75,14,0,0,0,0,0,0.0,68,60,8,1,0,0,2016
Bacarri Rambo,433.5,MIA,26,FS,41,16,4,61,0,11.25,11,2,0,1,0,0,2.0,151,105,46,7,7,0,2016
Bashaud Breeland,106.75,WAS,25,LCB,60,57,8,184,1,37.5,60,7,0,2,-1,0,1.0,270,215,55,9,2,0,2017
Ben Emanuel,308.0,SFO,23,SS,11,8,1,38,0,35.0,5,0,0,1,0,0,0.5,39,34,5,2,0,0,2005
Ben Kelly,983.0,NWE,24,DB,11,0,0,0,0,0.0,0,0,0,0,0,0,0.0,6,4,2,1,0,0,2002
Bene Benwikere,524.0,DAL,26,DB,39,14,2,1,0,0.25,21,2,0,4,6,0,1.0,104,78,26,5,2,0,2017
Bernard Pollard,188.5,HOU,25,SS,61,44,7,144,1,22.75,16,5,0,7,0,1,2.5,301,246,55,7,4,1,2009
Bhawoh Jue,517.5,GNB,25,DB,51,11,3,58,0,14.5,13,2,0,1,0,0,1.5,122,101,21,2,0,0,2004
Bill Bentley,641.67,DET,26,DB,19,8,0,0,0,0.0,5,0,0,0,0,0,0.0,45,34,11,0,0,0,2015
Blidi Wreh-Wilson,409.67,TEN,26,DB,34,14,1,34,0,11.33,14,1,0,0,0,0,0.0,90,76,14,1,0,0,2015
Blue Adams,662.33,TAM,27,DB,37,0,0,0,0,0.0,0,1,0,0,0,0,0.0,37,32,5,0,0,0,2006
Bob Sanders,232.0,IND,26,SS,39,37,4,32,0,7.25,13,2,0,4,62,1,3.5,253,195,58,10,4,0,2007
Bobby Gray,501.33,CHI,26,DB,29,13,1,31,0,10.33,6,1,0,1,2,0,1.0,89,69,20,5,0,0,2004
Bobby Myers,760.5,TEN,25,DB,17,2,0,0,0,0.0,1,0,0,1,14,1,0.0,16,13,3,0,0,0,2001
Brad Franklin,862.0,JAX,24,DB,4,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,2003
Bradley Fletcher,321.0,STL,26,DB,43,26,5,43,0,7.5,21,1,0,2,41,0,1.0,150,134,16,5,1,0,2012
Bradley Roby,205.75,DEN,25,DB,64,14,6,121,2,17.5,48,5,0,4,24,1,3.0,186,166,20,7,2,0,2017
Brandon Boykin,283.0,PIT,25,DB,64,7,8,137,1,19.25,38,5,1,1,0,0,2.0,145,128,17,3,6,0,2015
Brandon Burton,740.0,2TM,24,DB,19,1,0,0,0,0.0,1,0,0,0,0,0,0.0,14,11,3,0,0,0,2013
Brandon Carr,139.5,KAN,25,RCB,64,64,8,115,0,20.0,65,1,0,6,41,0,0.0,237,211,26,5,0,0,2011
Brandon Dixon,590.5,NYG,27,DB,19,5,1,0,0,0.0,6,1,0,0,0,0,0.0,30,23,7,1,0,0,2017
Brandon Flowers,114.0,KAN,25,LCB,60,59,13,284,3,53.75,70,4,0,4,37,0,0.0,257,222,35,9,0,0,2011
Brandon Ghee,883.33,CIN,26,DB,23,0,0,0,0,0.0,5,0,0,0,0,0,0.0,17,13,4,0,0,0,2013
Brandon Harris,665.25,TEN,24,DB,42,0,0,0,0,0.0,10,0,0,0,0,0,0.0,48,38,10,0,0,0,2014
Brandon Harrison,410.0,HOU,23,SS,15,6,0,0,0,0.0,1,0,0,0,0,0,0.0,33,24,9,1,1,0,2008
Brandon Hogan,942.0,CAR,23,DB,3,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,2011
Brandon Hughes,657.0,PHI,26,DB,30,1,0,0,0,0.0,2,0,0,1,0,0,0.0,31,27,4,0,0,0,2012
Brandon McDonald,309.0,2TM,25,DB,56,29,8,185,1,34.25,37,2,0,1,-5,0,1.0,173,148,25,7,2,0,2010
Brandon McGee,729.5,STL,24,DB,17,0,0,0,0,0.0,0,0,0,0,0,0,0.0,18,14,4,0,0,0,2014
Brandon Meriweather,218.25,NWE,26,FS,64,40,12,213,1,28.5,27,5,0,1,0,0,2.0,263,183,80,11,2,0,2010
Brandon Taylor,821.0,SDG,22,DB,4,1,0,0,0,0.0,0,0,0,0,0,0,0.5,6,4,2,0,1,0,2012
Brandon Underwood,738.0,GNB,24,DB,23,0,0,0,0,0.0,0,0,0,0,0,0,0.0,21,15,6,2,0,0,2010
Brandyn Thompson,987.0,WAS,22,DB,6,0,0,0,0,0.0,0,0,0,1,0,0,0.0,2,2,0,0,1,0,2011
Brannon Condren,882.0,MIA,25,DB,12,0,0,0,0,0.0,0,0,0,0,0,0,0.0,9,6,3,1,1,0,2008
Brian Allen,980.67,SFO,27,DB,17,1,0,0,0,0.0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,2020
Brian Williams,297.2,MIN,26,RCB,65,51,12,280,1,24.8,42,7,1,1,0,0,4.0,257,205,52,12,0,0,2005
Brice McCain,455.0,HOU,26,DB,56,6,4,134,1,31.0,26,0,0,0,0,0,0.5,92,81,11,0,3,0,2012
Brock Vereen,298.0,CHI,22,DB,16,4,1,0,0,0.0,1,1,0,0,0,0,0.0,39,30,9,2,0,0,2014
Brock Williams,812.5,OAK,25,DB,12,0,0,0,0,0.0,0,0,0,0,0,0,0.0,11,10,1,0,0,0,2004
Brodney Pool,207.5,CLE,24,FS,60,39,7,149,1,31.25,25,2,0,5,0,0,3.0,228,189,39,11,4,0,2008
Bruce Thornton,277.0,SFO,25,LCB,12,11,2,0,0,0.0,8,0,0,0,0,0,0.0,41,37,4,0,0,0,2005
Bryan Scott,214.5,NOR,25,DB,56,35,4,40,0,10.0,18,5,0,3,1,0,3.5,249,214,35,10,0,0,2006
Bryant McFadden,340.0,PIT,27,RCB,51,18,7,89,1,22.25,30,1,0,6,9,0,2.0,143,127,16,3,2,0,2008
Buster Skrine,199.5,CLE,25,RCB,64,37,6,44,0,10.0,47,0,0,1,0,0,1.0,235,196,39,5,2,0,2014
Byron Maxwell,620.5,SEA,26,RCB,47,17,6,29,0,6.75,26,3,0,4,12,0,0.0,82,68,14,1,0,0,2014
C.B. Bryant,1004.0,ARI,24,DB,3,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,2016
C.C. Brown,220.25,HOU,25,DB,50,47,3,14,0,3.5,16,4,0,4,19,0,1.0,256,197,59,5,2,0,2008
C.J. Wilson,772.4,CAR,25,DB,38,2,0,0,0,0.0,4,0,0,1,0,0,1.0,46,36,10,2,4,0,2010
Caleb Campbell,947.0,DET,26,DB,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,2010
Calvin Lowry,492.33,DEN,25,DB,43,14,2,18,0,5.67,14,1,0,0,0,0,0.0,93,68,25,0,0,0,2008
Calvin Pryor,404.75,JAX,25,DB,46,38,2,47,0,7.25,14,2,0,0,0,0,0.5,193,132,61,7,2,0,2017
Captain Munnerlyn,200.0,CAR,24,LCB,61,34,5,144,3,27.75,27,3,5,4,0,0,2.0,207,170,37,3,2,0,2012
Carey Scott,976.0,OAK,25,DB,5,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,2003
Carlos Rogers,226.0,WAS,27,RCB,50,41,6,148,1,29.25,52,3,0,1,0,0,0.0,209,181,28,6,0,0,2008
Cary Harris,952.5,BUF,23,DB,6,1,2,7,0,3.5,2,1,0,0,0,0,0.0,6,5,1,0,0,0,2010
Cary Williams,491.0,BAL,27,RCB,38,17,0,0,0,0.0,19,4,0,0,0,0,0.0,104,81,23,1,0,0,2011
