,Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
0,A.J. Epenesa,602.33,BUF,24,DE,43,3,0,0,0,0.0,7,2,0,1,0,0,9.0,44,32,12,12,23,0,2022
1,Aaron Kampman,349.25,GNB,26,LDE,56,48,0,0,0,0.0,8,6,0,2,3,0,13.5,203,138,65,20,0,0,2005
2,Aaron Lynch,532.25,SFO,24,DE,44,19,0,0,0,0.0,7,0,0,1,0,0,15.0,83,64,19,29,46,0,2017
3,Aaron Maybin,781.25,NYJ,24,DE,48,1,0,0,0,0.0,0,5,0,0,0,0,6.0,37,27,10,5,10,0,2012
4,Aaron Schobel,276.0,BUF,27,RDE,64,59,1,6,0,1.5,13,7,0,4,0,0,34.5,227,148,79,43,0,0,2004
5,Adam Carriker,423.0,WAS,26,LDE,47,41,0,0,0,0.0,3,0,0,3,0,0,3.5,92,67,25,15,10,1,2010
6,Adrian Clayborn,625.0,TAM,26,DE,36,36,0,0,0,0.0,1,5,0,0,0,0,13.0,109,74,35,27,30,0,2014
7,Adrian Tracy,648.0,NYG,25,LB,16,0,0,0,0,0.0,0,1,0,0,0,0,1.0,12,9,3,1,1,0,2012
8,Akiem Hicks,475.0,2TM,26,DE,61,33,0,0,0,0.0,1,1,0,1,0,1,9.5,140,75,65,22,23,0,2015
9,Al-Quadin Muhammad,644.5,IND,25,DE,51,8,0,0,0,0.0,1,2,0,1,0,0,5.0,80,56,24,15,17,0,2020
10,Aldon Smith,350.25,SFO,25,ROLB,50,30,1,6,0,1.5,5,6,0,1,0,0,44.0,152,120,32,46,81,1,2014
11,Alex Brown,237.5,CHI,26,RDE,63,57,1,0,0,0.0,24,9,0,5,0,0,20.0,202,164,38,35,0,0,2005
12,Alex Carrington,666.0,BUF,26,DE,44,9,0,0,0,0.0,6,1,0,0,0,0,4.0,52,33,19,14,8,0,2013
13,Alex Magee,741.0,2TM,23,DT,25,1,0,0,0,0.0,0,1,0,0,0,0,4.0,18,14,4,2,6,0,2010
14,Alex Okafor,586.0,ARI,25,DE,42,25,1,26,0,6.5,4,1,0,2,0,0,13.5,75,64,11,18,30,0,2016
15,Allen Bailey,544.75,KAN,25,RDE,55,18,0,0,0,0.0,6,0,0,2,1,0,7.0,86,63,23,15,13,0,2014
16,Alton Robinson,550.5,SEA,23,DE,30,3,0,0,0,0.0,1,2,0,0,0,0,5.0,44,26,18,10,7,0,2021
17,Alvin McKinley,694.0,CLE,25,DT,36,0,0,0,0,0.0,2,0,0,0,0,0,0.0,55,31,24,1,0,0,2003
18,Andre Carter,381.0,SFO,25,RDE,53,52,0,0,0,0.0,12,7,0,2,4,0,27.5,145,120,25,34,0,0,2004
19,Andrew Brown,914.0,LAC,26,DT,23,1,0,0,0,0.0,0,0,0,0,0,0,1.0,18,12,6,1,3,0,2021
20,Andrew Williams,900.5,SFO,25,DE,9,3,0,0,0,0.0,1,0,0,0,0,0,0.0,12,10,2,1,0,0,2004
21,Anthony Chickillo,575.0,PIT,26,DE,54,9,0,0,0,0.0,3,3,0,3,0,0,7.0,78,50,28,11,14,0,2018
22,Anthony Hargrove,1307.25,BUF,24,DE,57,19,0,0,0,0.0,0,1,0,2,0,0,10.5,0,0,0,0,0,0,2007
23,Anthony Nelson,638.5,TAM,25,OLB,59,12,0,0,0,0.0,3,4,0,2,0,0,11.5,94,51,43,13,23,0,2022
24,Anthony Spencer,271.5,DAL,26,LOLB,60,38,1,-3,0,-0.75,10,6,0,4,0,0,15.5,200,152,48,25,40,0,2010
25,Anthony Weaver,350.0,BAL,25,LDE,57,54,1,1,0,0.25,14,5,0,4,0,0,14.5,144,122,22,23,0,0,2005
26,Anton Palepoi,675.67,2TM,26,DE,32,1,0,0,0,0.0,2,0,0,0,0,0,4.0,45,32,13,6,0,0,2004
27,Antonio Garay,898.5,CHI,27,DE,8,0,0,0,0,0.0,0,0,0,0,0,0,0.0,7,5,2,1,1,0,2006
28,Antonio Smith,425.0,ARI,26,LDE,44,29,0,0,0,0.0,0,1,0,5,14,1,11.0,93,75,18,21,16,0,2007
29,Antwan Odom,583.0,TEN,26,LDE,52,35,0,0,0,0.0,11,3,0,2,52,2,12.5,83,57,26,18,22,0,2007
30,Arden Key,621.75,SFO,25,DE,54,10,0,0,0,0.0,3,0,0,0,0,0,9.5,71,45,26,13,43,0,2021
31,Armonty Bryant,636.25,DET,26,DE,36,4,0,0,0,0.0,0,3,0,1,34,0,11.5,68,45,23,14,21,0,2016
32,Arthur Jones,396.33,BAL,27,LDE,44,20,0,0,0,0.0,0,1,0,0,0,0,8.5,120,69,51,13,22,0,2013
33,Austen Lane,527.33,JAX,25,RDE,28,17,0,0,0,0.0,0,1,0,0,0,0,3.0,66,47,19,4,12,0,2012
34,Austin Bryant,641.5,DET,26,DL,33,6,0,0,0,0.0,1,0,0,0,0,0,4.5,65,42,23,7,11,0,2022
35,Avery Moss,595.0,MIA,25,LDE,22,10,0,0,0,0.0,2,2,0,0,0,0,0.0,40,22,18,0,5,0,2019
36,Baraka Atkins,649.0,SEA,24,DE,21,0,0,0,0,0.0,1,0,0,2,0,0,2.0,30,21,9,4,6,0,2008
37,Bjoern Werner,492.33,IND,25,DE,38,16,0,0,0,0.0,5,1,0,2,1,0,6.5,81,58,23,17,10,0,2015
38,Bo Schobel,702.0,ARI,26,DE,29,2,0,0,0,0.0,0,1,0,0,0,0,1.5,50,41,9,3,2,0,2007
39,Bobby McCray,526.25,JAX,26,LDE,61,29,0,0,0,0.0,5,8,0,1,0,0,22.0,93,72,21,27,25,0,2007
40,Bradlee Anae,961.0,DAL,23,DE,4,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,2021
41,Bradley Chubb,404.25,DEN,25,LOLB,41,41,1,21,0,5.25,4,4,0,1,4,0,20.5,144,92,52,29,50,0,2021
42,Brandon Deaderick,633.75,JAX,26,DT,47,15,0,0,0,0.0,2,3,0,1,0,0,5.5,54,37,17,6,4,0,2013
43,Brandon Graham,546.75,PHI,25,DE,48,12,0,0,0,0.0,1,4,0,1,0,0,11.5,75,62,13,15,24,0,2013
44,Brandon Green,605.33,STL,26,RDE,32,6,0,0,0,0.0,2,1,0,0,0,0,3.5,59,48,11,11,2,0,2006
45,Brandon Jenkins,1025.0,WAS,23,DE,5,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,2013
46,Brandon Williams,857.0,DAL,22,DE,6,0,0,0,0,0.0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,2010
47,Breeland Speaks,520.0,KAN,23,DT,16,4,0,0,0,0.0,0,1,0,2,0,0,1.5,24,15,9,3,8,0,2018
48,Brent Hawkins,666.5,JAX,24,DE,20,0,0,0,0,0.0,0,0,1,1,0,0,5.5,23,19,4,5,8,0,2007
