,Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
0,A'Shawn Robinson,291.5,DET,24,RDT,58,37,1,2,1,0.5,16,3,0,3,3,0,5.0,172,120,52,16,14,0,2019
1,A.J. Brown,973.5,PHI,25,WR,30,29,0,0,0,0.0,0,0,2,1,0,0,0.0,4,4,0,0,0,0,2022
2,A.J. Derby,1004.0,MIA,27,TE,4,0,0,0,0,0.0,0,1,0,1,0,0,0.0,1,1,0,0,0,0,2018
3,A.J. Edds,861.0,2TM,24,LB,11,0,0,0,0,0.0,0,0,0,0,0,0,0.0,13,3,10,0,1,0,2011
4,A.J. Epenesa,602.33,BUF,24,DE,43,3,0,0,0,0.0,7,2,0,1,0,0,9.0,44,32,12,12,23,0,2022
5,A.J. Feeley,1148.0,MIA,27,QB,17,13,0,0,0,0.0,0,0,12,3,-6,0,0.0,0,0,0,0,0,0,2004
6,A.J. Green,1181.5,CIN,24,WR,31,31,0,0,0,0.0,0,0,3,2,0,0,0.0,0,0,0,0,0,0,2012
7,A.J. Hawk,49.5,GNB,25,LILB,64,62,5,83,0,16.0,14,3,0,3,0,0,8.5,400,295,105,24,16,0,2009
8,A.J. Klein,367.5,CAR,25,MLB,60,23,1,8,0,2.0,2,4,0,0,0,0,4.0,146,99,47,16,5,0,2016
9,AJ Dillon,1163.5,GNB,24,RB,34,5,0,0,0,0.0,0,0,3,3,3,0,0.0,2,2,0,0,0,0,2022
10,AJ Terrell,128.67,ATL,24,CB,44,44,4,42,0,11.67,32,4,1,1,21,0,1.0,202,149,53,7,2,0,2022
11,Aaron Brown,1158.0,DET,24,RB,15,2,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,2009
12,Aaron Burbridge,625.0,SFO,23,WR,16,3,0,0,0,0.0,0,0,1,0,0,0,0.0,12,9,3,0,0,0,2016
13,Aaron Colvin,272.5,JAX,26,RLB,48,25,0,0,0,0.0,14,1,0,2,41,1,5.0,167,139,28,12,8,0,2017
14,Aaron Curry,338.0,OAK,26,LB,48,39,0,0,0,0.0,12,4,0,2,6,1,5.5,203,163,40,18,19,0,2012
15,Aaron Dobson,1154.0,NWE,22,WR,12,9,0,0,0,0.0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,2013
16,Aaron Donald,218.0,LAR,26,RDE,62,58,0,0,0,0.0,8,9,0,2,40,0,39.0,205,150,55,72,108,0,2017
17,Aaron Hernandez,1216.0,NWE,23,TE,24,17,0,0,0,0.0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,2012
18,Aaron Jones,1239.0,GNB,26,RB,30,30,0,0,0,0.0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,2020
19,Aaron Kampman,349.25,GNB,26,LDE,56,48,0,0,0,0.0,8,6,0,2,3,0,13.5,203,138,65,20,0,0,2005
20,Aaron Lynch,532.25,SFO,24,DE,44,19,0,0,0,0.0,7,0,0,1,0,0,15.0,83,64,19,29,46,0,2017
21,Aaron Maybin,781.25,NYJ,24,DE,48,1,0,0,0,0.0,0,5,0,0,0,0,6.0,37,27,10,5,10,0,2012
22,Aaron Ripkowski,938.67,GNB,25,RB,47,10,0,0,0,0.0,0,0,0,1,0,0,0.0,11,9,2,0,0,0,2017
23,Aaron Rodgers,1277.0,GNB,25,QB,16,16,0,0,0,0.0,0,0,10,5,-22,0,0.0,0,0,0,0,0,0,2008
24,Aaron Ross,398.0,NYG,28,DB,49,26,6,109,2,23.25,21,0,1,0,0,0,2.5,140,114,26,9,7,0,2010
25,Aaron Rouse,278.33,2TM,25,FS,41,18,4,173,1,44.33,11,0,0,0,0,0,1.0,143,110,33,4,3,0,2009
26,Aaron Schobel,276.0,BUF,27,RDE,64,59,1,6,0,1.5,13,7,0,4,0,0,34.5,227,148,79,43,0,0,2004
27,Aaron Shea,956.33,CLE,27,TE,23,10,0,0,0,0.0,0,0,0,1,0,0,0.0,11,9,2,0,0,0,2003
28,Aaron Walker,734.0,SFO,24,TE,16,4,0,0,0,0.0,0,0,0,0,0,0,0.0,9,8,1,0,0,0,2004
29,Aaron Wallace,1016.67,TEN,25,LB,13,0,0,0,0,0.0,0,0,0,0,0,0,1.0,17,12,5,1,2,0,2018
30,Aaron Williams,234.5,BUF,24,FS,49,44,6,69,0,15.0,28,3,1,0,0,0,0.0,222,162,60,4,0,0,2014
31,Abdul Hodge,793.33,CIN,27,LB,30,1,0,0,0,0.0,2,1,0,1,29,1,0.0,29,21,8,0,0,0,2009
32,Ace Sanders,1180.0,JAX,23,WR,27,4,0,0,0,0.0,0,0,2,1,0,0,0.0,1,1,0,0,0,0,2014
33,Adalius Thomas,272.33,BAL,26,LOLB,45,26,2,57,1,10.67,22,5,0,1,0,0,10.5,136,113,23,25,0,0,2003
34,Adam Archuleta,71.0,STL,27,SS,58,55,2,24,0,6.0,18,3,2,4,162,2,11.5,340,297,43,26,0,0,2004
35,Adam Carriker,423.0,WAS,26,LDE,47,41,0,0,0,0.0,3,0,0,3,0,0,3.5,92,67,25,15,10,1,2010
36,Adam Gotsis,497.75,DEN,27,DT,57,28,0,0,0,0.0,13,2,0,3,0,0,5.0,109,69,40,9,15,0,2019
37,Adam Haayer,1174.0,MIN,27,T,4,1,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2004
38,Adam Hayward,538.25,TAM,26,LB,59,4,0,0,0,0.0,2,0,0,2,0,0,1.0,80,64,16,3,2,0,2010
39,Adam Jennings,917.0,DET,27,WR,46,2,0,0,0,0.0,0,0,5,2,0,0,0.0,16,11,5,0,0,0,2009
40,Adam Jones,246.33,DAL,25,LCB,39,34,4,130,1,27.67,30,2,12,6,22,0,1.0,148,121,27,5,1,0,2008
41,Adam Podlesh,797.0,JAX,25,P,11,0,0,0,0,0.0,0,0,0,0,0,0,0.0,5,5,0,0,0,0,2008
42,Adam Seward,710.5,CAR,26,LB,40,2,0,0,0,0.0,0,0,0,1,0,0,0.0,45,39,6,2,1,0,2008
43,Adam Shaheen,1096.0,CHI,25,TE,8,2,0,0,0,0.0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,2019
44,Adam Snyder,1286.0,SFO,26,LG/RG,30,21,0,0,0,0.0,0,0,0,4,0,0,0.0,0,0,0,0,0,0,2008
45,Adam Terry,1318.0,BAL,23,T,7,0,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2005
46,Adam Trautman,1363.33,NOR,25,TE,43,28,0,0,0,0.0,0,0,1,1,0,0,0.0,2,2,0,0,0,0,2022
47,Adimchinobe Echemandu,939.5,OAK,26,RB,6,0,0,0,0,0.0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,2006
48,Adolphus Washington,598.0,2TM,24,DT,35,21,0,0,0,0.0,3,0,0,0,0,0,4.5,62,38,24,11,9,0,2018
49,Adoree' Jackson,231.25,TEN,25,DB,46,41,2,7,0,1.75,33,3,5,2,0,0,0.0,200,176,24,6,0,0,2020
50,Adrian Amos,70.75,CHI,25,FS,60,56,3,117,1,29.0,18,3,0,3,40,0,2.0,274,235,39,13,2,0,2018
