Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
A.J. Edds,861.0,2TM,24,LB,11,0,0,0,0,0.0,0,0,0,0,0,0,0.0,13,3,10,0,1,0,2011
A.J. Hawk,49.5,GNB,25,LB,64,62,5,83,0,16.0,14,3,0,3,0,0,8.5,400,295,105,24,16,0,2009
A.J. Klein,367.5,CAR,25,LB,60,23,1,8,0,2.0,2,4,0,0,0,0,4.0,146,99,47,16,5,0,2016
Aaron Curry,338.0,OAK,26,LB,48,39,0,0,0,0.0,12,4,0,2,6,1,5.5,203,163,40,18,19,0,2012
Abdul Hodge,793.33,CIN,27,LB,30,1,0,0,0,0.0,2,1,0,1,29,1,0.0,29,21,8,0,0,0,2009
Adam Hayward,538.25,TAM,26,LB,59,4,0,0,0,0.0,2,0,0,2,0,0,1.0,80,64,16,3,2,0,2010
Adam Seward,710.5,CAR,26,LB,40,2,0,0,0,0.0,0,0,0,1,0,0,0.0,45,39,6,2,1,0,2008
Akeem Ayers,224.25,2TM,25,LB,59,47,3,7,0,1.75,15,3,0,1,0,0,13.0,252,170,82,25,26,0,2014
Akeem Davis-Gaither,355.0,CIN,25,LB,41,3,1,0,0,0.0,7,1,0,1,3,0,0.5,105,71,34,2,2,0,2022
Akeem Dent,352.75,HOU,27,LB,62,27,0,0,0,0.0,3,1,0,0,0,0,2.5,174,106,68,12,10,0,2014
Akin Ayodele,70.75,JAX,26,LB,64,46,3,37,0,8.75,11,8,0,5,15,1,8.5,349,279,70,17,0,0,2005
Alec Ogletree,93.5,LAR,25,LB,52,52,5,157,1,37.5,33,11,0,1,0,0,3.5,408,304,104,28,6,0,2016
Alex Anzalone,437.5,NOR,26,LB,38,20,1,2,0,0.5,3,3,0,0,0,0,4.0,123,85,38,8,8,0,2020
Alex Hall,717.0,NYG,25,LB,32,2,0,0,0,0.0,0,2,0,1,0,0,3.0,39,35,4,3,8,0,2010
Alex Highsmith,201.33,PIT,25,LB,49,38,1,2,0,0.67,2,6,0,0,0,0,22.5,185,114,71,32,41,0,2022
Alex Lewis,295.33,DET,26,LB,40,4,1,33,0,11.0,5,2,0,1,0,0,2.0,136,105,31,4,2,0,2007
Alfred Fincher,825.5,WAS,25,LB,38,0,0,0,0,0.0,0,0,0,0,0,0,0.0,26,18,8,0,0,0,2008
Alonzo Jackson,743.0,2TM,25,LB,16,1,0,0,0,0.0,0,0,0,0,0,0,0.0,24,15,9,1,0,0,2005
Alvin Bowen,1185.0,JAX,27,LB,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,2010
Andra Davis,172.75,CLE,27,LB,59,43,5,49,0,11.0,19,2,0,2,0,0,7.5,382,257,125,17,0,0,2005
Andrew Gachkar,402.75,SDG,26,LB,63,8,0,0,0,0.0,1,1,0,1,13,1,2.0,120,92,28,12,2,0,2014
Andrew Jackson,687.0,IND,22,LB,13,0,0,0,0,0.0,0,0,0,0,0,0,1.0,10,8,2,3,1,0,2014
Andrew Van Ginkel,336.75,MIA,27,LB,56,31,1,23,0,5.75,13,4,0,2,78,1,11.0,181,114,67,23,38,0,2022
Anfernee Jennings,555.0,NWE,25,LB,30,7,0,0,0,0.0,2,1,0,0,0,0,1.5,47,25,22,1,5,0,2022
Angelo Crowell,467.5,BUF,25,LB,49,25,4,3,0,0.5,13,3,0,0,0,0,5.0,220,147,73,12,2,0,2006
Anthony Barr,131.0,MIN,25,LB,58,58,1,32,0,8.0,20,6,0,4,27,1,10.5,283,198,85,22,27,0,2017
Anthony Cannon,762.0,DET,24,LB,32,0,0,0,0,0.0,0,0,0,1,0,0,0.0,23,17,6,0,0,0,2008
Anthony Denman,649.0,BUF,23,LB,27,0,0,0,0,0.0,0,0,0,0,0,0,0.0,23,19,4,0,0,0,2002
Anthony Hitchens,141.25,DAL,25,LB,60,48,1,8,0,2.0,8,2,0,0,0,0,3.5,304,193,111,21,14,0,2017
Anthony Schlegel,769.0,CIN,26,LB,17,5,0,0,0,0.0,0,0,0,0,0,0,0.0,38,21,17,4,1,0,2007
Anthony Walker,177.0,IND,25,LB,57,48,3,22,0,5.5,11,1,0,2,0,0,3.5,343,229,114,19,6,0,2020
Anthony Waters,875.33,NOR,26,LB,20,0,0,0,0,0.0,0,0,0,1,0,0,0.0,14,13,1,0,0,0,2010
Antonio Wilson,723.5,MIN,25,LB,15,1,0,0,0,0.0,1,0,0,0,0,0,0.0,20,14,6,1,0,0,2002
Antwan Barnes,570.75,2TM,26,LB,51,0,1,4,0,1.0,3,2,0,0,0,0,9.5,62,57,5,13,17,0,2010
Antwan Peek,490.0,HOU,27,LB,51,23,1,20,0,5.0,6,5,0,3,66,1,10.0,110,79,31,8,2,0,2006
Antwione Williams,475.0,DET,23,LB,14,3,0,0,0,0.0,0,0,1,1,0,0,0.0,27,17,10,2,1,0,2016
Arthur Brown,773.0,2TM,23,LB,44,0,0,0,0,0.0,0,1,0,0,0,0,0.5,20,16,4,0,3,0,2016
Arthur Moats,443.25,BUF,25,LB,59,20,0,0,0,0.0,1,2,0,1,0,0,5.0,141,80,61,4,14,0,2013
Audie Cole,529.0,MIN,26,LB,36,7,0,0,0,0.0,2,0,0,1,0,0,1.0,74,52,22,3,5,0,2015
Austin Spitler,730.25,MIA,27,LB,55,0,0,0,0,0.0,0,0,0,1,0,0,0.0,31,27,4,0,0,0,2013
Avery Williamson,82.5,TEN,25,LB,63,59,2,0,0,0.0,8,3,0,2,43,0,11.5,376,239,137,20,21,0,2017
Barkevious Mingo,454.25,NWE,26,LB,62,16,1,7,0,1.75,11,0,0,1,0,0,7.0,119,79,40,14,20,0,2016
Barrett Green,294.5,DET,26,LB,54,40,0,0,0,0.0,10,1,0,3,38,0,5.0,250,174,76,15,0,0,2003
Barrett Ruud,221.75,TAM,25,LB,63,36,4,17,0,3.75,9,4,0,5,3,0,3.0,323,235,88,12,7,0,2008
Beau Bell,868.0,CLE,22,LB,5,0,0,0,0,0.0,0,1,0,0,0,0,0.0,3,3,0,0,0,0,2008
Ben Burr-Kirven,756.5,SEA,23,LB,32,0,0,0,0,0.0,0,1,0,0,0,0,0.0,16,10,6,1,0,0,2020
Ben Taylor,519.0,CLE,27,LB,39,26,1,0,0,0.0,4,0,0,0,0,0,0.0,206,146,60,7,0,0,2005
Blair Brown,738.0,JAX,24,LB,28,2,0,0,0,0.0,0,0,0,1,0,0,0.5,17,13,4,0,1,0,2018
Blake Cashman,607.0,HOU,26,LB,30,8,0,0,0,0.0,3,0,0,2,0,0,3.5,75,53,22,7,8,0,2022
Blake Martinez,38.75,GNB,25,LB,61,57,3,29,0,7.25,17,2,0,2,0,0,10.0,512,331,181,29,12,0,2019
Bobby Carpenter,525.75,DAL,26,LB,58,3,0,0,0,0.0,2,0,0,1,0,0,3.5,99,72,27,4,8,0,2009
Bobby Okereke,55.25,IND,26,LB,64,49,3,27,0,5.75,17,4,1,5,11,0,2.0,420,293,127,15,4,0,2022
Bobby Wagner,37.5,SEA,25,LB,56,55,5,64,0,13.5,21,2,0,4,45,2,9.5,478,293,185,25,21,0,2015
Boomer Grigsby,761.5,MIA,27,LB,45,1,0,0,0,0.0,0,0,0,0,0,0,0.0,36,31,5,0,0,0,2008
Boss Bailey,159.67,DET,27,LB,43,39,2,32,1,10.67,11,0,0,1,62,1,3.5,214,158,56,10,1,0,2006
Brad Jones,397.75,GNB,26,LB,51,23,0,0,0,0.0,6,1,0,0,0,0,7.0,156,110,46,16,14,0,2012
