Player,Rk,Tm,Age,Pos,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Year
A.J. Brown,99.0,TEN,24,WR,13,13,0,0,0,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2021
A.J. Feeley,41.333333333333336,MIA,27,QB,18,13,7,6,0,287,524,60.300000000000004,3047,19,7.1000000000000005,21,4.833333333333333,153,39.333333333333336,7.366666666666666,6.6000000000000005,12.0,161.20000000000002,83.7,30,184,3.4666666666666663,6.943333333333334,6.21,3,4,2004
A.J. McCarron,50.5,CIN,27,QB,10,3,2,1,0,86,133,58.2,920,6,2.5,2,0.85,50,46.5,5.95,6.050000000000001,10.100000000000001,72.0,80.25,13,72,7.949999999999999,4.92,5.035,0,0,2017
Aaron Rodgers,49.75,GNB,25,QB,23,16,6,10,0,376,595,57.825,4367,29,2.2,14,2.175,198,36.5,5.625,5.1,9.4,101.525,71.95,43,301,12.05,4.1125,3.67,1,2,2008
Ace Sanders,66.0,JAX,22,WR,15,4,0,0,0,1,1,100.0,21,1,100.0,0,0.0,1,21.0,21.0,41.0,21.0,1.4,158.3,0,0,0.0,21.0,41.0,0,0,2013
Adimchinobe Echemandu,95.0,CLE,24,RB,4,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2004
Adrian Peterson,88.0,CHI,28,RB,16,5,0,0,0,1,1,100.0,9,1,100.0,0,0.0,1,9.0,9.0,29.0,9.0,0.6,143.7,0,0,0.0,9.0,29.0,0,0,2007
Alex Smith,34.333333333333336,SFO,23,QB,32,30,11,19,0,435,800,52.56666666666666,4679,19,1.7333333333333334,31,4.133333333333334,217,55.666666666666664,5.5,4.0,10.433333333333332,136.13333333333333,57.6,81,508,10.1,4.326666666666667,3.0066666666666664,4,6,2007
Alvin Kamara,80.0,NOR,24,RB,14,9,0,0,0,1,1,100.0,13,0,0.0,0,0.0,1,13.0,13.0,13.0,13.0,0.9,118.7,0,0,0.0,13.0,13.0,0,0,2019
Andrew Luck,13.75,IND,26,QB,55,55,35,20,0,1224,2106,57.825,14838,101,4.825,55,2.8,724,77.5,6.95,6.675,12.025,269.65,83.725,115,722,5.125,6.28,6.01,9,13,2015
Andrew Walter,53.0,OAK,26,QB,15,9,2,7,0,174,333,53.56666666666666,1919,3,0.3666666666666667,16,3.6,92,32.666666666666664,5.033333333333333,3.466666666666667,9.433333333333334,93.26666666666667,53.699999999999996,51,295,7.866666666666667,4.073333333333333,2.6966666666666668,0,0,2008
Andy Dalton,13.75,CIN,27,QB,64,64,40,23,1,1301,2111,61.625,14758,99,4.65,66,3.1,689,76.5,6.975,6.5,11.325,230.6,85.025,120,695,5.325,6.297499999999999,5.8425,10,13,2014
Anquan Boldin,92.5,ARI,25,WR,30,30,0,0,0,0,2,0.0,0,0,0.0,1,50.0,0,0.0,0.0,-22.5,0.0,0.0,19.8,0,0,0.0,0.0,-22.5,0,0,2005
Anthony Miller,83.0,CHI,24,WR,15,4,0,0,0,1,1,100.0,8,0,0.0,0,0.0,1,8.0,8.0,8.0,8.0,0.5,100.0,0,0,0.0,8.0,8.0,0,0,2018
Antonio Brown,73.5,PIT,25,WR,29,24,0,0,0,1,3,50.0,15,0,0.0,1,25.0,1,7.5,7.5,-3.75,7.5,0.45,59.35,1,7,25.0,2.0,-9.25,0,0,2013
Antonio Morrison,93.0,IND,22,LB,16,4,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2016
Antwaan Randle El,78.5,PIT,26,WR,64,23,0,0,0,14,16,90.625,128,2,33.325,0,0.0,6,23.75,9.85,16.525,10.175,2.0,118.35,1,10,2.775,9.43,16.0975,0,0,2005
