,Unnamed: 0,Player,Rk,Tm,Age,Pos,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Year
0,0,A.J. Feeley,41.33,MIA,27,QB,18,13,7,6,0,287,524,60.3,3047,19,7.1,21,4.83,153,39.33,7.37,6.6,12.0,161.2,83.7,30,184,3.47,6.94,6.21,3,4,2004
1,1,A.J. McCarron,50.5,CIN,27,QB,10,3,2,1,0,86,133,58.2,920,6,2.5,2,0.85,50,46.5,5.95,6.05,10.1,72.0,80.25,13,72,7.95,4.92,5.04,0,0,2017
2,2,Aaron Rodgers,49.75,GNB,25,QB,23,16,6,10,0,376,595,57.83,4367,29,2.2,14,2.17,198,36.5,5.62,5.1,9.4,101.53,71.95,43,301,12.05,4.11,3.67,1,2,2008
3,3,Alex Smith,34.33,SFO,23,QB,32,30,11,19,0,435,800,52.57,4679,19,1.73,31,4.13,217,55.67,5.5,4.0,10.43,136.13,57.6,81,508,10.1,4.33,3.01,4,6,2007
4,4,Andrew Luck,13.75,IND,26,QB,55,55,35,20,0,1224,2106,57.83,14838,101,4.83,55,2.8,724,77.5,6.95,6.67,12.03,269.65,83.72,115,722,5.12,6.28,6.01,9,13,2015
5,5,Andrew Walter,53.0,OAK,26,QB,15,9,2,7,0,174,333,53.57,1919,3,0.37,16,3.6,92,32.67,5.03,3.47,9.43,93.27,53.7,51,295,7.87,4.07,2.7,0,0,2008
6,6,Andy Dalton,13.75,CIN,27,QB,64,64,40,23,1,1301,2111,61.62,14758,99,4.65,66,3.1,689,76.5,6.97,6.5,11.32,230.6,85.03,120,695,5.33,6.3,5.84,10,13,2014
7,7,B.J. Daniels,75.0,2TM,27,QB,8,0,0,0,0,1,2,50.0,7,0,0.0,0,0.0,0,7.0,3.5,3.5,7.0,0.9,58.3,0,0,0.0,3.5,3.5,0,0,2015
8,8,Baker Mayfield,18.25,CLE,26,QB,60,59,29,30,0,1185,1924,61.62,14125,92,4.78,56,2.88,681,76.5,7.35,7.0,11.93,235.75,87.88,134,889,6.58,6.43,6.11,6,7,2021
9,9,Ben DiNucci,57.0,DAL,24,QB,3,1,0,1,0,23,43,53.5,219,0,0.0,0,0.0,11,32.0,5.1,5.1,9.5,73.0,67.9,7,73,14.0,2.92,2.92,0,0,2020
10,10,Ben Roethlisberger,16.25,PIT,25,QB,56,55,39,16,0,908,1436,63.53,11673,84,5.95,54,3.67,585,73.25,8.28,7.85,13.0,207.62,94.05,146,969,9.1,6.92,6.5,9,12,2007
11,11,Blaine Gabbert,43.75,SFO,25,QB,29,27,5,22,0,417,784,50.2,4395,23,5.4,24,3.25,208,60.25,5.6,5.23,11.25,128.03,69.7,74,518,7.08,4.72,4.47,1,1,2014
12,12,Blake Bortles,14.25,JAX,25,QB,62,61,21,40,0,1318,2229,59.15,14928,90,3.95,64,2.92,758,69.75,6.65,6.15,11.3,239.75,80.3,164,985,6.95,5.81,5.33,6,7,2017
14,14,Bradlee Van Pelt,83.0,DEN,25,QB,3,0,0,0,0,2,8,25.0,7,0,0.0,0,0.0,0,5.0,0.9,0.9,3.5,2.3,39.6,0,0,0.0,0.88,0.88,0,0,2005
15,15,Brady Quinn,49.33,CLE,25,QB,14,12,3,9,0,184,353,47.07,1902,10,1.77,9,1.63,99,39.67,5.53,5.17,12.1,117.2,63.53,20,113,2.67,5.26,4.89,1,2,2009
16,16,Brandon Allen,46.0,DEN,27,QB,3,3,1,2,0,39,84,46.4,515,3,3.6,2,2.4,20,75.0,6.1,5.8,13.2,171.7,68.3,9,59,9.7,4.9,4.58,0,0,2019
17,17,Brandon Weeden,35.0,2TM,32,QB,34,25,6,19,0,559,965,59.5,6462,31,4.25,30,3.25,266,69.0,6.97,6.35,11.78,169.12,81.35,66,452,5.85,6.15,5.57,2,3,2015
18,18,Brett Hundley,51.0,GNB,24,QB,15,9,3,6,0,194,326,40.4,1853,9,1.4,13,6.9,90,32.0,3.75,0.95,9.05,85.6,35.3,29,197,4.2,3.23,0.46,2,2,2017
19,19,Brian Brohm,59.5,BUF,25,QB,3,2,0,2,0,27,52,51.05,252,0,0.0,5,9.95,12,24.0,4.8,0.3,9.6,89.5,30.55,5,13,9.0,4.17,0.12,0,0,2010
20,20,Brian St. Pierre,113.0,PIT,25,QB,1,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,1,1,2004
21,21,Brock Osweiler,57.0,DEN,25,QB,21,7,5,2,0,187,305,55.15,2126,11,3.4,6,0.55,100,34.0,5.33,5.75,9.8,71.28,79.28,25,159,4.7,4.78,5.22,2,2,2015
22,22,Brodie Croyle,51.75,KAN,26,QB,16,9,0,9,0,173,300,56.52,1631,8,1.93,8,7.83,77,29.5,4.95,1.8,8.75,75.0,63.4,22,139,7.47,3.98,1.25,0,0,2009
23,23,Brooks Bollinger,52.33,MIN,27,QB,14,9,2,7,0,168,293,61.4,1764,7,0.87,7,2.63,87,45.33,6.9,5.9,11.2,91.53,74.0,39,243,15.23,4.7,3.93,1,0,2006
24,24,Bruce Gradkowski,51.75,OAK,26,QB,26,16,5,11,0,279,523,49.05,2824,15,1.68,16,5.8,131,40.0,4.6,2.33,8.85,79.3,50.42,42,249,9.4,3.72,1.75,4,5,2009
25,25,Bryce Petty,41.0,NYJ,26,QB,10,7,1,6,0,130,245,52.75,1353,4,1.6,10,4.0,60,49.0,5.5,4.0,10.35,135.4,57.55,21,134,7.8,4.54,3.19,1,1,2017
26,26,Byron Leftwich,24.5,JAX,26,QB,46,44,24,20,0,789,1344,58.65,9042,51,3.88,36,2.62,435,61.25,6.67,6.3,11.4,196.05,80.88,76,362,5.38,6.07,5.69,7,10,2006
27,27,C.J. Beathard,37.33,SFO,27,QB,19,12,2,10,0,291,497,59.6,3469,18,4.1,13,2.27,169,71.33,7.13,6.9,11.93,181.4,85.57,46,368,8.47,5.83,5.65,0,0,2020
28,28,Cam Newton,14.75,CAR,25,QB,62,62,30,31,1,1144,1923,59.48,14426,82,4.28,54,2.8,675,75.75,7.47,7.08,12.6,232.4,85.4,152,1140,7.33,6.39,6.01,9,8,2014
29,29,Cardale Jones,58.0,BUF,24,QB,1,0,0,0,0,6,11,54.5,96,0,0.0,1,9.1,2,64.0,8.7,4.6,16.0,96.0,46.0,1,2,8.3,7.83,4.08,0,0,2016
30,30,Carson Palmer,9.33,CIN,27,QB,45,45,25,20,0,932,1461,63.67,10768,78,5.3,43,3.03,538,73.33,7.33,7.03,11.53,238.27,90.77,80,516,5.2,6.62,6.34,5,9,2006
31,31,Carson Wentz,16.75,PHI,27,QB,56,56,32,24,0,1311,2055,64.02,14191,97,4.92,35,1.7,725,64.0,7.03,7.22,10.95,255.45,94.12,129,807,6.03,6.21,6.42,6,8,2019
32,32,Chad Henne,34.5,MIA,26,QB,36,31,13,18,0,646,1065,59.4,7114,31,2.35,37,2.65,367,46.0,6.62,5.9,11.18,166.25,75.9,67,421,5.05,5.94,5.27,3,4,2011
33,33,Chad Pennington,40.0,NYJ,27,QB,28,21,12,9,0,476,721,55.62,5418,37,8.72,18,1.38,291,49.5,8.25,9.38,16.32,133.72,98.45,49,307,8.62,6.94,7.89,3,4,2003
34,34,Charlie Frye,49.75,SEA,27,QB,23,20,6,14,0,366,590,54.02,3573,16,3.4,25,6.5,171,38.5,4.83,2.58,8.82,101.85,52.05,74,447,16.67,3.08,1.33,1,1,2008
35,35,Chris Redman,61.0,BAL,26,QB,10,6,3,3,0,106,198,57.93,1111,7,1.27,5,5.67,54,21.33,5.5,3.17,9.5,70.27,62.03,17,113,12.43,4.01,2.44,0,0,2003
36,36,Chris Simms,39.33,TAM,26,QB,19,15,7,8,0,291,492,57.73,3087,12,1.83,17,4.3,156,69.33,6.13,4.53,10.63,157.8,63.93,43,312,8.03,5.03,3.57,3,3,2006
37,37,Chris Weinke,37.5,CAR,30,QB,21,16,1,15,0,310,578,49.5,3111,11,1.0,22,5.7,148,36.0,5.05,2.75,10.3,112.7,44.1,32,212,9.1,4.08,1.99,0,0,2002
38,38,Christian Ponder,36.0,MIN,26,QB,38,36,14,21,1,632,1057,57.5,6658,38,2.77,36,3.83,354,50.5,6.1,4.95,10.6,161.5,68.75,95,501,9.43,5.03,3.99,2,3,2014
39,39,Cody Kessler,44.0,JAX,25,QB,17,12,2,10,0,224,349,59.43,2215,8,1.53,5,2.27,110,36.67,6.0,5.23,10.2,112.37,72.1,49,337,14.93,4.03,3.45,0,0,2018
40,40,Cody Pickett,64.5,SFO,25,QB,6,2,0,2,0,18,45,40.0,195,0,0.0,4,12.85,8,23.0,4.75,-1.05,11.9,41.5,23.5,5,30,12.3,3.34,-1.59,0,0,2005
