Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year,Tgt,Rec,Ctch%,Y/R,Y/Tgt,R/G
AJ Dillon,46.67,GNB,24,RB,45,5,419.0,1815,14,110,31.0,4.57,38.17,3,2022,,,,,,
Aaron Brown,169.0,DET,26,RB,22,2,45.0,189,0,9,9.33,2.77,6.13,0,2011,,,,,,
Aaron Jones,29.5,GNB,26,RB,54,42,651.0,3364,37,171,61.5,5.28,61.17,6,2020,,,,,,
Adimchinobe Echemandu,142.0,2TM,27,RB,13,0,28.0,110,0,2,13.0,3.7,7.85,2,2007,,,,,,
Adrian Peterson,75.36,MIN,25,RB,151,60,1499.0,7024,58,357,37.18,4.72,42.69,25,2010,,,,,,
Ahmad Bradshaw,54.75,NYG,24,RB,58,12,529.0,2558,17,120,62.75,5.72,42.15,15,2010,,,,,,
Alex Collins,54.67,BAL,24,RB,36,22,357.0,1509,14,83,31.67,4.07,39.13,9,2018,,,,,,
Alex Green,135.0,NYJ,25,RB,29,4,149.0,510,0,19,19.33,3.43,14.73,1,2013,,,,,,
Alexander Mattison,50.75,MIN,24,RB,59,6,404.0,1670,11,92,30.75,4.15,29.05,2,2022,,,,,,
Alfred Blue,37.75,HOU,26,RB,57,14,523.0,1908,6,96,40.0,3.7,32.6,4,2017,,,,,,
Alfred Morris,8.0,WAS,27,RB,64,64,1078.0,4713,29,235,40.5,4.3,73.62,11,2015,,,,,,
Allen Bradford,188.0,TAM,23,RB,1,0,5.0,13,0,0,4.0,2.6,13.0,0,2011,,,,,,
Alvin Kamara,23.75,NOR,25,RB,60,35,672.0,3340,43,196,53.0,5.1,55.85,7,2020,,,,,,
Alvin Pearman,100.5,JAX,24,RB,29,0,58.0,238,2,12,28.5,4.25,8.05,6,2006,,,,,,
Ameer Abdullah,117.5,2TM,25,RB,42,22,327.0,1251,6,63,23.75,3.52,31.82,8,2018,,,,,,
Andre Brown,144.5,NYG,26,RB,14,2,75.0,384,8,26,15.5,2.4,19.1,0,2012,,,,,,
Andre Ellington,61.5,ARI,27,RB,53,15,398.0,1697,9,73,44.5,4.5,33.35,4,2016,,,,,,
Andre Williams,91.75,LAC,25,RB,41,7,332.0,1090,8,50,26.5,3.45,37.83,1,2017,,,,,,
Anthony Allen,180.0,BAL,24,RB,21,0,19.0,69,1,4,11.5,3.25,2.7,0,2012,,,,,,
Anthony Dixon,100.75,SFO,26,RB,64,1,148.0,458,8,26,15.25,3.02,7.15,0,2013,,,,,,
Anthony McFarland Jr.,192.67,PIT,23,RB,14,0,42.0,146,0,7,12.33,3.13,13.93,0,2022,,,,,,
Anthony Sherman,274.33,KAN,26,RB,47,21,5.0,14,0,3,3.0,2.83,0.3,1,2014,,,,,,
Anthony Thomas,23.0,CHI,27,RB,51,37,858.0,3332,21,156,47.0,3.8,64.28,7,2004,,,,,,
Antonio Gibson,19.33,WAS,24,RB,45,30,577.0,2378,21,137,29.0,4.13,52.67,8,2022,,,,,,
Artose Pinner,67.25,MIN,28,RB,40,7,245.0,812,8,49,16.5,3.33,22.48,1,2006,,,,,,
