Player,Year,Pos,Rus_Att,Rus_Yds,Rus_Y/A,Rus_TD,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_Ctch%,Rec_Y/Tgt,F_Fmb,F_Fl,F_FF,F_FR,F_Yds,F_TD,OffSnap%,STSnap%
FourLe00,2017,RB,268,1040,3.88,9,48,36,302,8.39,1,75.0%,6.29,2,0,0,2,0,0,0.509375,0.0
McCaCh01,2017,RB,117,435,3.72,2,113,80,651,8.14,5,70.8%,5.76,2,1,0,1,0,0,0.700625,0.113125
CookDa01,2017,RB,74,354,4.78,2,16,11,90,8.18,0,68.8%,5.63,1,1,0,0,0,0,0.16,0.0
MixoJo00,2017,RB,178,626,3.52,4,34,30,287,9.57,0,88.2%,8.44,3,2,0,1,0,0,0.414375,0.030625
KamaAl00,2017,RB,120,728,6.07,8,100,81,826,10.2,5,81.0%,8.26,1,1,0,0,0,0,0.446875,0.09187500000000001
HuntKa00,2017,RB,272,1327,4.88,8,63,53,455,8.58,3,84.1%,7.22,1,1,0,0,0,0,0.65375,0.0
ForeDO00,2017,RB,78,327,4.19,2,8,6,83,13.83,0,75.0%,10.38,2,1,0,0,0,0,0.130625,0.010625
ConnJa00,2017,RB,32,144,4.50,0,,,,,,,,,,,,,,0.06125,0.15375
PeriSa00,2017,RB,175,603,3.45,1,24,22,182,8.27,1,91.7%,7.58,2,2,0,1,0,0,0.35687499999999994,0.165
CoheTa00,2017,RB,87,370,4.25,2,71,53,353,6.66,1,74.6%,4.97,3,2,0,0,0,0,0.359375,0.29312499999999997
WillJo12,2017,RB,,,,,,,,,,,,,,,,,,,
PumpDo00,2017,RB,,,,,,,,,,,,,,,,,,,
WillJa06,2017,RB,153,556,3.63,4,34,25,262,10.48,2,73.5%,7.71,,,,,,,0.42375,0.143125
GallWa00,2017,RB,111,476,4.29,0,48,34,193,5.68,1,70.8%,4.02,3,1,0,2,0,0,0.28625,0.381875
MackMa00,2017,RB,93,358,3.85,3,33,21,225,10.71,1,63.6%,6.82,1,0,0,0,0,0,0.29874999999999996,0.058750000000000004
HillBr02,2017,RB,11,37,3.36,0,2,2,36,18.00,0,100.0%,18.00,,,,,,,0.028181818181818183,0.38909090909090904
McNiJe00,2017,RB,,,,,,,,,,,,,,,,,,0.0,0.17600000000000002
LogaT.00,2017,RB,,,,,,,,,,,,,,,,,,,
