,Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year,Tgt,Rec,Ctch%,Y/R,Y/Tgt,R/G
0,AJ Dillon,46.67,GNB,24,RB,45,5,419.0,1815,14,110,31.0,4.57,38.17,3,2022,82.0,64.0,85.67,9.03,7.93,1.27
1,Aaron Brown,169.0,DET,26,RB,22,2,45.0,189,0,9,9.33,2.77,6.13,0,2011,29.0,18.0,73.83,7.97,6.03,0.97
2,Aaron Jones,29.5,GNB,26,RB,54,42,651.0,3364,37,171,61.5,5.28,61.17,6,2020,184.0,131.0,67.75,6.9,4.92,2.38
3,Adimchinobe Echemandu,142.0,2TM,27,RB,13,0,28.0,110,0,2,13.0,3.7,7.85,2,2007,6.0,5.0,87.5,6.9,5.9,0.5
4,Adrian Peterson,75.36,MIN,25,RB,151,60,1499.0,7024,58,357,37.18,4.72,42.69,25,2010,270.0,191.0,76.45,8.53,6.56,1.14
5,Ahmad Bradshaw,54.75,NYG,24,RB,58,12,529.0,2558,17,120,62.75,5.72,42.15,15,2010,99.0,75.0,68.58,7.75,5.43,1.2
6,Alex Collins,54.67,BAL,24,RB,36,22,357.0,1509,14,83,31.67,4.07,39.13,9,2018,68.0,49.0,78.43,7.57,5.93,1.33
7,Alex Green,135.0,NYJ,25,RB,29,4,149.0,510,0,19,19.33,3.43,14.73,1,2013,33.0,21.0,86.67,5.63,4.73,0.67
8,Alexander Mattison,50.75,MIN,24,RB,59,6,404.0,1670,11,92,30.75,4.15,29.05,2,2022,84.0,70.0,83.85,7.75,6.5,1.18
9,Alfred Blue,37.75,HOU,26,RB,57,14,523.0,1908,6,96,40.0,3.7,32.6,4,2017,59.0,49.0,82.47,6.45,5.4,0.82
10,Alfred Morris,8.0,WAS,27,RB,64,64,1078.0,4713,29,235,40.5,4.3,73.62,11,2015,67.0,47.0,71.53,7.57,5.38,0.75
11,Allen Bradford,188.0,TAM,23,RB,1,0,5.0,13,0,0,4.0,2.6,13.0,0,2011,,,,,,
12,Alvin Kamara,23.75,NOR,25,RB,60,35,672.0,3340,43,196,53.0,5.1,55.85,7,2020,409.0,326.0,79.8,8.68,6.92,5.45
13,Alvin Pearman,100.5,JAX,24,RB,29,0,58.0,238,2,12,28.5,4.25,8.05,6,2006,41.0,36.0,88.9,9.38,8.68,0.88
14,Ameer Abdullah,117.5,2TM,25,RB,42,22,327.0,1251,6,63,23.75,3.52,31.82,8,2018,82.0,58.0,78.05,8.62,6.95,1.55
15,Andre Brown,144.5,NYG,26,RB,14,2,75.0,384,8,26,15.5,2.4,19.1,0,2012,17.0,12.0,70.6,7.2,5.1,1.2
16,Andre Ellington,61.5,ARI,27,RB,53,15,398.0,1697,9,73,44.5,4.5,33.35,4,2016,164.0,112.0,66.5,8.78,5.85,2.17
17,Andre Williams,91.75,LAC,25,RB,41,7,332.0,1090,8,50,26.5,3.45,37.83,1,2017,42.0,19.0,27.3,4.73,1.93,0.4
18,Anthony Allen,180.0,BAL,24,RB,21,0,19.0,69,1,4,11.5,3.25,2.7,0,2012,4.0,2.0,50.0,6.0,3.0,0.1
19,Anthony Dixon,100.75,SFO,26,RB,64,1,148.0,458,8,26,15.25,3.02,7.15,0,2013,9.0,9.0,100.0,6.07,6.07,0.2
20,Anthony McFarland Jr.,192.67,PIT,23,RB,14,0,42.0,146,0,7,12.33,3.13,13.93,0,2022,12.0,9.0,88.9,8.5,7.5,1.0
21,Anthony Sherman,274.33,KAN,26,RB,47,21,5.0,14,0,3,3.0,2.83,0.3,1,2014,55.0,41.0,74.45,8.12,6.12,0.65
22,Anthony Thomas,23.0,CHI,27,RB,51,37,858.0,3332,21,156,47.0,3.8,64.28,7,2004,108.0,72.0,67.5,6.67,4.55,1.43
23,Antonio Gibson,19.33,WAS,24,RB,45,30,577.0,2378,21,137,29.0,4.13,52.67,8,2022,154.0,124.0,80.63,7.2,5.8,2.77
24,Artose Pinner,67.25,MIN,28,RB,40,7,245.0,812,8,49,16.5,3.33,22.48,1,2006,47.0,39.0,76.35,7.65,5.8,1.1
25,Baron Batch,119.0,PIT,25,RB,12,0,25.0,49,1,4,10.0,2.0,4.1,0,2012,5.0,4.0,80.0,7.8,6.2,0.3
26,Beanie Wells,34.0,ARI,24,RB,51,23,625.0,2471,24,116,39.75,3.73,46.05,10,2012,41.0,28.0,75.0,13.97,11.38,0.5
27,Ben Tate,37.0,HOU,25,RB,40,9,421.0,1992,10,108,47.0,4.67,47.77,10,2013,79.0,58.0,79.27,5.37,4.2,1.43
28,Benny Snell Jr.,85.0,PIT,24,RB,63,5,275.0,982,7,54,19.5,3.6,16.72,3,2022,24.0,17.0,74.1,7.2,5.5,0.25
29,Bernard Pierce,79.0,JAX,24,RB,52,3,359.0,1345,5,68,34.5,3.38,22.6,1,2015,47.0,32.0,59.23,5.17,3.02,0.57
30,Bernard Scott,85.5,CIN,28,RB,47,3,255.0,1035,4,54,33.25,4.25,21.18,2,2012,38.0,29.0,74.53,7.27,5.07,0.63
31,Bilal Powell,82.25,NYJ,26,RB,47,14,332.0,1296,6,68,19.5,3.48,23.68,2,2014,109.0,65.0,70.92,7.8,5.45,1.18
32,Bishop Sankey,59.5,TEN,23,RB,29,12,199.0,762,3,31,19.0,3.9,25.2,4,2015,45.0,32.0,70.95,8.65,6.05,1.1
33,Bo Scarbrough,129.5,SEA,26,RB,7,5,95.0,408,1,16,21.0,4.7,46.9,1,2020,4.0,1.0,25.0,5.0,1.3,0.2
34,Boston Scott,64.0,PHI,26,RB,43,10,228.0,992,13,58,34.67,4.33,23.0,7,2021,78.0,62.0,81.0,7.8,6.3,1.53
35,Brandon Jackson,62.0,GNB,25,RB,52,16,347.0,1329,7,59,39.5,3.95,24.15,3,2010,137.0,110.0,79.1,7.8,6.15,2.08
