Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
A.J. Brown,246.5,TEN,24,WR,29,24,5,70,1,3,28.0,12.5,2.3,1,2021
A.J. Feeley,135.0,MIA,27,QB,17,13,26,19,1,2,6.5,0.7,1.1,12,2004
A.J. Green,210.0,CIN,26,WR,44,44,11,93,0,5,15.67,7.03,2.03,6,2014
A.J. Jenkins,242.5,KAN,25,WR,25,3,4,4,0,0,2.5,1.0,0.1,1,2014
A.J. McCarron,158.0,CIN,25,QB,7,3,14,31,0,3,16.0,2.2,4.4,1,2015
AJ Dillon,46.67,GNB,24,RB,45,5,419,1815,14,110,31.0,4.57,38.17,3,2022
Aaron Brown,169.0,DET,26,RB,22,2,45,189,0,9,9.33,2.77,6.13,0,2011
Aaron Hernandez,229.0,NWE,23,TE,38,29,9,97,0,6,14.0,9.9,2.37,1,2012
Aaron Jones,29.5,GNB,26,RB,54,42,651,3364,37,171,61.5,5.28,61.17,6,2020
Aaron Ripkowski,149.5,GNB,25,RB,32,10,39,163,2,12,9.5,3.5,5.1,0,2017
Aaron Rodgers,188.0,GNB,25,QB,23,16,67,254,4,26,12.0,4.2,8.8,13,2008
Ace Sanders,253.0,JAX,22,WR,15,4,2,4,0,1,4.0,2.0,0.3,0,2013
Adam Jennings,280.0,ATL,24,WR,15,0,1,-4,0,0,-4.0,-4.0,-0.3,0,2006
Adam Jones,243.0,TEN,23,RCB,15,15,2,8,0,1,7.0,4.0,0.5,4,2006
Adam Podlesh,260.0,JAX,24,P,16,0,2,-2,0,0,0.0,-1.0,-0.1,1,2007
Adimchinobe Echemandu,142.0,2TM,27,RB,13,0,28,110,0,2,13.0,3.7,7.85,2,2007
Adoree' Jackson,197.0,TEN,22,LCB,16,16,5,55,0,3,20.0,11.0,3.4,1,2017
Adrian Madise,299.0,DEN,23,WR,11,0,1,10,0,1,10.0,10.0,0.9,1,2003
Adrian Peterson,75.36,MIN,25,RB,151,60,1499,7024,58,357,37.18,4.72,42.69,25,2010
Ahmad Bradshaw,54.75,NYG,24,RB,58,12,529,2558,17,120,62.75,5.72,42.15,15,2010
Aldrick Robinson,260.0,WAS,25,WR,31,3,4,10,0,1,11.5,6.35,0.3,0,2013
Alex Armah,177.33,CAR,26,FB,48,4,21,35,3,9,3.67,1.67,0.73,0,2020
Alex Collins,54.67,BAL,24,RB,36,22,357,1509,14,83,31.67,4.07,39.13,9,2018
