Player,Year,Pos,Def_Sk,Tkl_Tot,Tkl_Ast,Tkl_Comb,Tkl_TFL,Tkl_QBHits,Def_Int,Def_Yds,Def_TD,Def_PD,F_Fmb,F_Fl,F_FF,F_FR,F_Yds,F_TD,DefSnap%,STSnap%
AdamJa00,2017,S,2.0,63,20,83,9,2,0,0,0,6,0.0,0.0,1.0,2.0,0.0,0.0,0.98625,0.221875
HookMa00,2017,S,0.0,16,6,22,0,0,3,73,0,4,,,,,,,0.365625,0.05
PeppJa00,2017,S,,45,13,58,1,0,1,0,0,3,5,1,0,1,0,0,0.78375,0.389375
BakeBu00,2017,S,1.0,58,16,74,3,2,0,0,0,7,0,0,2,1,0,0,0.515,0.6443749999999999
MayeMa00,2017,S,0.0,57.0,22.0,79.0,0.0,0.0,2,44,0,2,0,0,1,0,0,0,0.9612499999999999,0.108125
WillMa06,2017,S,0.0,59,14,73,1,0,4,12,0,7,,,,,,,0.895625,0.239375
EvanJu00,2017,S,0.0,50,16,66,2,0,3,28,0,6,,,,,,,0.675,0.2525
MeliOb00,2017,S,0.0,6,1,7,0,0,,,,,,,,,,,0.034375,0.09749999999999999
JoneJo06,2017,S,2.0,60,11,71,5,2,1,0,0,5,,,,,,,0.6937500000000001,0.365625
JohnJo10,2017,S,0.0,56.0,19.0,75.0,1.0,0.0,1,69,0,11,,,,,,,0.66875,0.35375
HillDe02,2017,S,0.0,3,2,5,0,0,,,,,,,,,,,0.028125,0.58125
ThomTe00,2017,S,0.0,2,2,4,0,0,,,,,0,0,0,2,0,0,0.006875000000000001,0.215625
JackEd01,2017,S,,55,18,73,1,0,2,82,1,6,0,0,1,3,75,1,0.9975,0.30499999999999994
JenkRa00,2017,S,0.0,10,3,13,0,1,0,0,0,1,,,,,,,0.07875,0.7312500000000001
NichMo00,2017,S,0.0,18,6,24,0,0,1,0,0,2,,,,,,,0.30937499999999996,0.12499999999999997
KingDe01,2017,S,,66,10,76,6,6,1,90,1,5,,,,,,,0.688125,0.446875
DecoTr00,2017,S,0.0,6,1,7,0,0,0,0,0,1,0,0,0,1,0,0,0.053750000000000006,0.18875000000000003
GerrNa00,2017,S,0.0,3.0,2.0,5.0,0.0,0.0,0,0,0,1,,,,,,,0.028999999999999998,0.651
TysoMi00,2017,S,,,,,,,,,,,,,,,,,0.0,0.0
WoodXa00,2017,S,0.0,33.0,9.0,42.0,1.0,4.0,1,7,0,3,0,0,0,1,6,0,0.5218750000000001,0.476875
FordRu00,2017,S,0.0,5,0,5,0,0,,,,,,,,,,,0.0,0.35875
McQuLe01,2017,S,,3,1,4,0,0,0,0,0,1,,,,,,,0.23666666666666666,0.21333333333333335
LuanSh00,2017,S,0.0,14.0,4.0,18.0,1.0,0.0,0,0,0,2,,,,,,,0.17312499999999997,0.66875
HarvJo01,2017,S,0.5,9,7,16,1,1,0,0,0,1,,,,,,,0.080625,0.43124999999999997
AdamJa00,2018,S,3.5,86,29,115,9,8,1,38,0,12,0,0,3,1,5,0,0.99875,0.11125
