,Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
0,A.J. Derby,266.67,MIA,27,TE,25,4,65,40,64.17,452,12.53,3,3,21.67,7.9,1.43,16.73,2,2018
1,Aaron Hernandez,56.33,NWE,23,TE,38,29,260,175,67.2,1956,11.17,18,101,41.0,7.57,4.63,51.17,1,2012
2,Aaron Shea,251.25,CLE,27,TE,38,18,84,53,64.08,446,6.92,2,16,18.5,4.53,1.18,9.15,1,2003
3,Aaron Walker,290.0,STL,26,TE,48,12,34,23,70.5,299,13.2,1,15,27.33,9.3,0.47,6.27,0,2006
4,Adam Shaheen,297.25,MIA,26,TE,43,18,55,38,73.17,399,10.22,7,23,28.75,7.4,0.9,9.12,1,2020
5,Adam Trautman,212.0,NOR,25,TE,43,28,81,60,79.47,641,10.87,4,31,31.67,8.73,1.43,15.13,1,2022
6,Adrien Robinson,344.0,NYG,26,TE,16,1,7,5,71.4,50,10.0,1,3,29.0,7.1,0.3,3.1,0,2014
7,Albert Okwuegbunam,239.67,DEN,24,TE,26,7,73,54,70.47,546,10.17,4,25,38.67,7.23,2.17,21.93,1,2022
8,Alex Smith,119.5,TAM,26,TE,58,43,205,129,62.23,1252,10.0,11,69,29.5,6.15,2.23,21.55,1,2008
9,Alge Crumpler,95.5,ATL,27,TE,62,51,253,153,60.75,2111,13.6,17,95,50.5,8.3,2.52,34.7,3,2004
10,Andrew Quarless,231.67,GNB,25,TE,39,15,90,56,66.33,586,11.03,3,34,22.0,7.37,1.3,13.8,1,2013
11,Anthony Becht,126.25,NYJ,26,TE,62,56,185,120,63.45,1064,8.88,16,73,26.0,5.62,1.93,16.98,2,2003
12,Anthony Fasano,173.25,MIA,25,TE,62,40,151,93,61.92,1062,10.88,10,58,24.75,6.78,1.52,17.35,2,2009
13,Anthony Hill,395.5,IND,26,TE,12,2,5,3,58.35,19,7.0,0,0,7.0,3.9,0.25,1.6,0,2011
14,Anthony McCoy,222.0,SEA,25,TE,32,14,52,31,59.25,437,13.7,3,20,49.0,8.25,0.95,13.65,0,2012
15,Austin Hooper,84.0,ATL,25,TE,59,28,277,214,75.95,2244,11.2,16,105,50.75,8.43,3.67,38.52,0,2019
16,Austin Seferian-Jenkins,180.25,NYJ,25,TE,38,24,171,105,60.42,1070,11.38,10,48,32.75,6.75,2.62,29.38,2,2017
17,Bear Pascoe,325.0,NYG,26,TE,50,26,39,26,72.15,252,9.28,1,14,14.75,6.72,0.5,4.47,0,2012
18,Ben Hartsock,313.25,TEN,27,TE,45,15,44,24,63.3,247,8.78,0,13,18.5,4.97,0.6,5.78,0,2007
19,Ben Koyack,273.0,JAX,24,TE,30,10,31,24,75.3,199,8.05,1,10,19.0,6.05,0.85,6.95,0,2017
20,Ben Patrick,254.25,ARI,26,TE,42,20,64,45,69.42,446,10.07,4,24,22.25,6.95,1.07,10.97,1,2010
21,Ben Troupe,182.5,TEN,25,TE,55,29,172,106,57.58,1056,10.12,7,54,28.25,5.78,1.93,19.18,4,2007
22,Ben Watson,175.5,NWE,27,TE,41,31,198,116,57.75,1489,11.78,13,76,31.0,6.8,2.67,31.82,5,2007
23,Bill Baber,375.0,TAM,25,TE,29,2,5,4,88.9,37,10.67,1,2,11.33,10.1,0.43,3.03,0,2004
24,Billy Bajema,380.25,SFO,26,TE,61,25,16,7,25.0,88,6.95,0,3,13.25,3.48,0.1,1.43,0,2008
25,Blake Bell,318.75,JAX,27,TE,50,12,49,30,63.03,357,12.1,0,11,30.25,6.92,0.6,7.0,0,2018
26,Bo Scaife,87.0,TEN,27,TE,62,39,274,170,61.48,1625,9.78,7,90,30.75,5.9,2.73,26.23,4,2008
27,Brad Cottam,274.0,KAN,25,TE,24,8,26,16,61.8,183,11.15,0,9,22.5,6.85,0.75,9.45,0,2009
28,Brad Smelley,454.0,CLE,23,TE,2,0,1,1,100.0,3,3.0,0,0,3.0,3.0,0.5,1.5,0,2012
30,Brandon Manumaleuna,256.25,STL,24,TE,64,41,81,53,73.22,519,8.53,5,22,28.75,5.55,0.83,8.12,0,2004
31,Brandon Myers,207.0,OAK,27,TE,58,28,154,111,69.05,1056,7.78,4,55,18.75,5.38,1.77,16.7,1,2012
