Player,Year,Pos,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_Ctch%,Rec_Y/Tgt,Tkl_Tot,Tkl_Ast,Tkl_Comb,Tkl_TFL,Tkl_QBHits,F_Fmb,F_Fl,F_FF,F_FR,F_Yds,F_TD,OffSnap%,STSnap%
HowaO.00,2017,TE,39,26,432,16.62,6,66.7%,11.08,,,,,,3,2,0,1,0,0,0.56,0.11
EngrEv00,2017,TE,115,64,722,11.28,6,55.7%,6.28,,,,,,,,,,,,0.724375,0.26
NjokDa00,2017,TE,60,32,386,12.06,4,53.3%,6.43,,,,,,,,,,,,0.46875,0.384375
EverGe00,2017,TE,32,16,244,15.25,2,50.0%,7.63,,,,,,1,1,0,0,0,0,0.2875,0.078125
ShahAd00,2017,TE,14,12,127,10.58,3,85.7%,9.07,,,,,,,,,,,,0.248125,0.349375
SmitJo01,2017,TE,30,18,157,8.72,2,60.0%,5.23,,,,,,,,,,,,0.5399999999999999,0.205625
RobeMi01,2017,TE,7,4,46,11.50,0,57.1%,6.57,0,1,1,0,0,,,,,,,0.21250000000000002,0.32
ButtJa00,2017,TE,,,,,,,,,,,,,,,,,,,,
KittGe00,2017,TE,63,43,515,11.98,2,68.3%,8.17,,,,,,,,,,,,0.5425,0.011875
LeggJo00,2017,TE,,,,,,,,,,,,,,,,,,,0.0,0.0
SpriJe00,2017,TE,3,2,13,6.50,1,66.7%,4.33,,,,,,,,,,,,0.12062500000000001,0.2625
SaubEr00,2017,TE,,,,,,,,1,0,1,0,0,,,,,,,0.02875,0.503125
HodgBu00,2017,TE,,,,,,,,,,,,,,,,,,,,
SchrMa00,2017,TE,,,,,,,,,,,,,,,,,,,,
HowaO.00,2018,TE,48,34,565,16.62,5,70.8%,11.77,,,,,,,,,,,,0.3775,0.038125000000000006
EngrEv00,2018,TE,64,45,577,12.82,3,70.3%,9.02,,,,,,,,,,,,0.450625,0.015
NjokDa00,2018,TE,88,56,639,11.41,4,63.6%,7.26,,,,,,,,,,,,0.7962499999999999,0.0
EverGe00,2018,TE,50,33,320,9.7,3,66.0%,6.4,,,,,,0,0,0,1,0,0,0.34750000000000003,0.028125
ShahAd00,2018,TE,6,5,48,9.60,1,83.3%,8.00,,,,,,,,,,,,0.145625,0.0025
SmitJo01,2018,TE,30,20,258,12.90,3,66.7%,8.60,,,,,,1,0,0,0,0,0,0.6075,0.094375
RobeMi01,2018,TE,20,9,100,11.11,3,45.0%,5.00,,,,,,,,,,,,0.145625,0.035
ButtJa00,2018,TE,13,8,85,10.63,0,61.5%,6.54,,,,,,,,,,,,0.08687500000000001,0.048125
KittGe00,2018,TE,136,88,1377,15.65,5,64.7%,10.13,,,,,,,,,,,,0.87625,0.0025
LeggJo00,2018,TE,24,14,114,8.14,1,58.3%,4.75,,,,,,,,,,,,0.3275,0.19124999999999998
SpriJe00,2018,TE,9,5,41,8.2,1,55.6%,4.56,,,,,,0,0,0,1,0,0,0.36250000000000004,0.570625
SaubEr00,2018,TE,9,5,48,9.6,0,55.6%,5.33,1.0,2.0,3.0,0.0,0.0,,,,,,,0.16562500000000002,0.6637500000000001
HodgBu00,2018,TE,,,,,,,,,,,,,,,,,,,,
SchrMa00,2018,TE,,,,,,,,,,,,,,,,,,,0.021875,0.22875
HowaO.00,2019,TE,53,34,459,13.50,1,64.2%,8.66,,,,,,1,1,0,0,0,0,0.693125,0.15875
EngrEv00,2019,TE,68,44,467,10.61,3,64.7%,6.87,,,,,,,,,,,,0.39875,0.0025
NjokDa00,2019,TE,10,5,41,8.20,1,50.0%,4.10,,,,,,,,,,,,0.094375,0.0
EverGe00,2019,TE,60,37,408,11.03,2,61.7%,6.80,,,,,,,,,,,,0.4025,0.006875000000000001
ShahAd00,2019,TE,13,9,74,8.22,0,69.2%,5.69,1,0,1,0,0,1,1,0,0,0,0,0.171875,0.08812500000000001
SmitJo01,2019,TE,44.0,35.0,439.0,12.54,3.0,79.5%,9.98,,,,,,,,,,,,0.713125,0.148125
RobeMi01,2019,TE,,,,,,,,,,,,,,,,,,,,
ButtJa00,2019,TE,,,,,,,,,,,,,,,,,,,,
KittGe00,2019,TE,107,85,1053,12.39,5,79.4%,9.84,,,,,,1,0,0,1,0,0,0.775,0.004375
LeggJo00,2019,TE,,,,,,,,,,,,,,,,,,,0.0,0.0
SpriJe00,2019,TE,40,26,241,9.27,1,65.0%,6.03,1,0,1,0,0,1,0,0,0,0,0,0.6481250000000001,0.506875
SaubEr00,2019,TE,3,2,21,10.50,0,66.7%,7.00,,,,,,,,,,,,0.16999999999999998,0.2425
HodgBu00,2019,TE,,,,,,,,,,,,,,,,,,,,
SchrMa00,2019,TE,,,,,,,,,,,,,,,,,,,0.014000000000000002,0.13999999999999999
HowaO.00,2020,TE,19,11,146,13.27,2,57.9%,7.68,,,,,,,,,,,,0.12187500000000001,0.043125
EngrEv00,2020,TE,109,63,654,10.38,1,57.8%,6.0,,,,,,1,1,0,0,0,0,0.82375,0.08750000000000001
NjokDa00,2020,TE,29,19,213,11.21,2,65.5%,7.34,,,,,,,,,,,,0.38999999999999996,0.0
EverGe00,2020,TE,62.0,41.0,417.0,10.17,1.0,66.1%,6.73,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.565,0.0075
ShahAd00,2020,TE,22.0,12.0,150.0,12.5,3.0,54.5%,6.82,,,,,,,,,,,,0.343125,0.001875
SmitJo01,2020,TE,65,41,448,10.93,8,63.1%,6.89,,,,,,,,,,,,0.7024999999999999,0.026875
RobeMi01,2020,TE,,,,,,,,,,,,,,,,,,,,
ButtJa00,2020,TE,4,2,5,2.50,0,50.0%,1.25,1,0,1,0,0,,,,,,,0.109375,0.139375
KittGe00,2020,TE,63,48,634,13.21,2,76.2%,10.06,,,,,,,,,,,,0.414375,0.0025
LeggJo00,2020,TE,,,,,,,,,,,,,,,,,,,,
SpriJe00,2020,TE,3.0,1.0,6.0,6.0,0.0,33.3%,2.0,5.0,1.0,6.0,0.0,0.0,,,,,,,0.20124999999999998,0.51
SaubEr00,2020,TE,4,3,16,5.33,0,75.0%,4.00,1,1,2,0,0,,,,,,,0.16555555555555557,0.5411111111111111
HodgBu00,2020,TE,,,,,,,,,,,,,,,,,,,,
SchrMa00,2020,TE,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,0.03071428571428572,0.38500000000000006
HowaO.00,2021,TE,21.0,14.0,135.0,9.64,1.0,66.7%,6.43,,,,,,,,,,,,0.31000000000000005,0.028235294117647056
EngrEv00,2021,TE,73,46,408,8.87,3,63.0%,5.59,,,,,,1,1,0,0,0,0,0.6588235294117648,0.0
NjokDa00,2021,TE,53,36,475,13.19,4,67.9%,8.96,2,0,2,0,0,0,0,0,1,0,0,0.6082352941176471,0.0
EverGe00,2021,TE,63,48,478,9.96,4,76.2%,7.59,,,,,,2,2,0,0,0,0,0.6635294117647058,0.0
ShahAd00,2021,TE,16,12,110,9.17,0,75.0%,6.88,,,,,,,,,,,,0.31941176470588234,0.11294117647058823
SmitJo01,2021,TE,45,28,294,10.50,1,62.2%,6.53,,,,,,1,0,0,2,0,0,0.48117647058823537,0.024705882352941178
RobeMi01,2021,TE,,,,,,,,,,,,,,,,,,,,
ButtJa00,2021,TE,,,,,,,,,,,,,,,,,,,,
KittGe00,2021,TE,94,71,910,12.82,6,75.5%,9.68,1,0,1,0,0,2,1,0,0,0,0,0.7564705882352941,0.011176470588235295
LeggJo00,2021,TE,,,,,,,,,,,,,,,,,,,,
