Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
A.J. Brown,39.0,PHI,25,WR,60,52,440,273,62.15,4491,16.6,35,202,74.75,10.3,4.58,74.33,5,2022
A.J. Green,20.5,CIN,26,WR,60,60,574,329,57.42,4874,14.97,35,212,73.5,8.57,5.45,81.03,7,2014
A.J. Jenkins,349.0,KAN,25,WR,28,3,33,17,35.7,223,8.87,0,9,25.0,4.6,0.5,6.13,1,2014
Aaron Burbridge,308.0,SFO,23,WR,16,3,16,7,43.8,88,12.6,0,5,24.0,5.5,0.4,5.5,1,2016
Aaron Dobson,248.33,NWE,24,WR,24,13,98,53,57.77,698,12.5,4,36,40.33,7.17,1.83,23.47,1,2015
Ace Sanders,201.0,JAX,23,WR,27,4,94,57,72.15,539,9.35,1,23,37.5,6.75,1.95,18.45,2,2014
Adam Jennings,395.0,2TM,26,WR,45,2,9,6,33.33,62,3.43,1,3,9.33,3.43,0.13,1.3,5,2008
Adrian Arrington,332.5,NOR,26,WR,5,0,12,9,72.25,110,13.4,0,5,17.0,9.55,3.75,43.4,0,2011
Adrian Madise,370.0,DEN,23,WR,11,0,3,2,66.7,10,5.0,0,0,5.0,3.3,0.2,0.9,1,2003
Aldrick Robinson,303.0,2TM,26,WR,38,3,65,30,32.33,608,15.93,5,23,45.33,6.8,0.63,13.17,0,2014
Alex Bannister,353.0,SEA,25,WR,55,4,23,9,37.2,121,9.45,1,6,14.0,3.88,0.2,2.08,0,2004
Allen Robinson,147.25,JAX,24,WR,43,41,384,202,65.15,2848,14.5,22,139,50.75,9.72,3.85,53.62,1,2017
Alshon Jeffery,61.25,CHI,25,WR,51,44,435,252,56.52,3728,14.88,24,182,64.75,8.4,4.83,71.5,5,2015
Amara Darboh,296.0,SEA,23,WR,16,0,13,8,61.5,71,8.9,0,2,16.0,5.5,0.5,4.4,0,2017
Amari Cooper,39.5,2TM,24,WR,61,56,465,278,59.6,3908,14.1,25,182,77.25,8.35,4.53,63.65,6,2018
Andre Caldwell,143.75,CIN,26,WR,51,14,204,124,60.92,1172,9.5,6,65,35.25,5.88,2.33,21.38,5,2011
Andre Johnson,21.5,HOU,25,WR,61,61,534,311,57.8,3953,12.82,17,197,51.5,7.38,5.05,64.25,3,2006
Andre King,284.75,CLE,31,WR,42,3,45,30,68.7,327,10.32,0,13,26.25,7.0,0.82,9.07,1,2004
Andre Roberts,92.0,ARI,25,WR,62,35,337,182,53.42,2123,11.8,11,100,49.75,6.3,2.95,34.27,4,2013
Andre' Davis,166.0,NWE,26,WR,48,23,193,102,49.78,1602,18.23,14,51,59.75,8.73,2.02,35.7,3,2005
Andy Isabella,347.0,2TM,26,WR,41,3,54,33,67.3,447,13.8,3,17,41.5,9.53,0.68,8.9,1,2022
Anquan Boldin,15.0,ARI,26,WR,56,55,592,342,57.3,4605,13.22,20,220,55.0,7.6,6.1,80.92,7,2006
Anthony Gonzalez,159.33,IND,26,WR,31,11,139,99,66.77,1307,13.53,7,66,49.67,9.03,2.97,39.77,0,2010
Anthony Miller,153.5,2TM,27,WR,50,18,227,140,59.2,1589,9.88,12,81,33.5,6.0,2.65,26.95,4,2021
Antonio Brown,70.0,PIT,25,WR,54,27,416,261,67.0,3561,13.0,15,181,55.25,8.53,4.53,60.52,6,2013
Antonio Bryant,61.0,CLE,24,WR,63,43,398,210,52.25,3104,14.85,16,103,60.25,7.72,3.35,49.35,5,2005
Antonio Callaway,267.0,MIA,23,WR,25,14,98,53,52.57,695,11.57,5,31,41.67,6.1,1.7,20.97,1,2020
Antonio Gandy-Golden,454.0,WAS,22,WR,6,2,7,1,14.3,3,3.0,0,0,3.0,0.4,0.2,0.5,0,2020
Antwaan Randle El,89.25,PIT,26,WR,64,23,253,162,64.35,2012,12.53,7,95,42.5,7.9,2.52,31.48,18,2005
ArDarius Stewart,334.0,NYJ,24,WR,15,2,13,6,46.2,82,13.7,0,2,46.0,6.3,0.4,5.5,0,2017
Armanti Edwards,397.33,2TM,25,WR,25,0,16,6,25.2,131,11.4,0,3,30.67,5.13,0.17,3.1,1,2013
Arnaz Battle,219.25,SFO,26,WR,48,23,155,99,45.5,1192,10.2,6,60,40.0,6.08,1.88,22.35,5,2006
Arrelious Benn,211.0,TAM,24,WR,37,24,95,59,63.77,862,12.33,5,32,46.0,7.77,1.43,20.37,2,2012
Ashley Lelie,85.5,DEN,25,WR,64,40,323,168,53.23,3007,17.6,12,118,55.5,9.3,2.62,47.0,0,2005
Auden Tate,287.0,CIN,24,WR,35,12,118,61,55.48,799,11.72,2,43,21.25,6.68,1.48,18.8,1,2021
Aundrae Allison,265.0,MIN,22,WR,26,0,40,18,44.85,231,13.1,0,13,28.0,5.8,0.7,9.2,4,2008
Austin Collie,139.5,IND,27,WR,42,16,257,173,76.35,1845,9.5,16,104,36.25,7.03,3.65,38.12,1,2012
Austin Pettis,163.5,2TM,26,WR,51,11,176,107,62.42,1034,9.62,9,55,32.25,5.97,2.02,19.48,3,2014
Avion Black,281.5,HOU,25,WR,25,0,26,14,53.55,142,10.0,0,7,19.5,5.35,0.55,5.55,2,2002
Ben Obomanu,298.5,SEA,26,WR,27,0,34,16,60.7,221,12.65,1,13,21.0,7.2,0.6,8.35,1,2009
Bernard Berrian,129.5,CHI,27,WR,58,32,299,150,47.9,2197,15.62,13,96,56.0,7.47,2.48,36.9,4,2007
Bethel Johnson,259.0,MIN,27,WR,50,9,80,39,52.2,606,16.15,4,27,47.0,8.45,0.78,11.9,4,2006
Billy McMullen,279.25,MIN,26,WR,45,0,100,45,38.27,601,9.55,3,28,23.75,4.12,0.78,9.85,1,2006
Bobby Wade,162.5,TEN,25,WR,58,18,194,101,54.77,1199,11.38,2,52,26.5,6.25,1.68,19.73,15,2006
Brandin Cooks,34.5,NWE,24,WR,58,46,429,280,66.4,3943,13.88,27,158,70.75,9.07,4.9,66.75,3,2017
Brandon Aiyuk,42.33,SFO,24,WR,46,44,294,194,65.87,2589,13.43,18,133,48.67,8.83,4.3,56.87,3,2022
Brandon Gibson,90.75,STL,25,WR,55,38,313,174,55.1,2090,11.85,9,103,33.0,6.58,3.2,37.75,2,2012
Brandon Jones,141.75,TEN,26,WR,51,27,196,112,56.92,1380,12.5,9,76,41.5,7.03,2.23,27.4,1,2008
Brandon LaFell,101.25,CAR,27,WR,60,36,294,167,57.3,2385,14.38,13,110,69.0,8.32,2.8,39.83,2,2013
Brandon Lloyd,126.0,WAS,25,WR,60,41,285,128,44.85,1875,14.85,13,85,59.25,6.62,2.17,31.73,2,2006
Brandon Marshall,48.75,DEN,25,WR,61,45,542,327,59.3,4019,12.95,25,206,65.25,7.62,5.33,65.6,8,2009
Brandon Tate,290.67,CIN,25,WR,34,14,73,37,34.73,643,11.4,4,20,36.33,5.93,0.77,13.4,5,2012
