Player,Year,Pos,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_Y/R,Rec_TD,Rec_Ctch%,Rec_Y/Tgt,Rus_Att,Rus_Yds,Rus_Y/A,Rus_TD,F_Fmb,F_Fl,F_FF,F_FR,F_Yds,F_TD,Snap%
DaviCo03,2017,WR,65,34,375,11.03,0,52.3%,5.77,,,,,1,1,0,0,0,0,0.5025000000000001
WillMi07,2017,WR,23,11,95,8.64,0,47.8%,4.13,,,,,,,,,,,0.216875
RossJo00,2017,WR,,,,,,,,1,12,12.00,0,1,1,0,0,0,0,0.019375
JoneZa00,2017,WR,74,27,316,11.70,2,36.5%,4.27,,,,,,,,,,,0.7418750000000001
SamuCu00,2017,WR,26,15,115,7.67,0,57.7%,4.42,4,64,16.00,0,,,,,,,0.208125
SmitJu00,2017,WR,79,58,917,15.81,7,73.4%,11.61,,,,,,,,,,,0.65375
KuppCo00,2017,WR,94,62,869,14.02,5,66.0%,9.24,,,,,1,1,0,0,0,0,0.7118749999999999
TaylTa00,2017,WR,28,16,231,14.44,1,57.1%,8.25,8.0,43.0,5.38,0.0,,,,,,,0.24874999999999997
StewAr00,2017,WR,13,6,82,13.67,0,46.2%,6.31,7,27,3.86,0,,,,,,,0.223125
HendCa01,2017,WR,,,,,,,,,,,,,,,,,,
GodwCh00,2017,WR,55,34,525,15.44,1,61.8%,9.55,,,,,0,0,0,1,0,0,0.405
GollKe00,2017,WR,48,28,477,17.04,3,58.3%,9.94,1,9,9.00,0,,,,,,,0.46687500000000004
WillCh05,2017,WR,7,3,31,10.33,0,42.9%,4.43,2,33,16.50,0,,,,,,,0.08750000000000001
DarbAm00,2017,WR,13,8,71,8.88,0,61.5%,5.46,,,,,,,,,,,0.17625000000000002
WestDe00,2017,WR,51,27,339,12.56,1,52.9%,6.65,,,,,1,0,0,0,0,0,0.34125
ReynJo00,2017,WR,24,11,104,9.45,1,45.8%,4.33,,,,,,,,,,,0.27249999999999996
HollMa00,2017,WR,22,16,226,14.13,1,72.7%,10.27,,,,,0,0,0,1,-16,0,0.25375
MaloJo00,2017,WR,17,6,63,10.50,1,35.3%,3.71,2,2,1.00,0,,,,,,,0.281875
SwitRy00,2017,WR,7,6,41,6.83,0,85.7%,5.86,4.0,5.0,1.25,0.0,1,1,0,0,0,0,0.084375
ChesJe00,2017,WR,4,2,18,9.00,0,50.0%,4.50,,,,,,,,,,,0.078125
HansCh00,2017,WR,17,9,94,10.44,0,52.9%,5.53,,,,,,,,,,,0.32375
GibsSh00,2017,WR,3,2,11,5.50,0,66.7%,3.67,,,,,,,,,,,0.016875
AdamRo01,2017,WR,,,,,,,,,,,,,,,,,,0.0
McKeIs00,2017,WR,13,4,29,7.25,0,30.8%,2.23,1,4,4.00,0,6,2,0,3,0,0,0.115625
YancDe00,2017,WR,,,,,,,,,,,,,,,,,,
TaylTr02,2017,WR,60,43,430,10.00,2,71.7%,7.17,,,,,1,1,0,0,0,0,0.44437499999999996
DaviRo00,2017,WR,,,,,,,,,,,,,,,,,,0.0
ColeSt00,2017,WR,,,,,,,,,,,,,,,,,,0.016875
MoorDa03,2017,WR,,,,,,,,,,,,,,,,,,0.02666666666666667
FordIs00,2017,WR,,,,,,,,,,,,,,,,,,
BrowNo00,2017,WR,9,4,33,8.25,0,44.4%,3.67,,,,,,,,,,,0.15375
DuprMa01,2017,WR,,,,,,,,,,,,,,,,,,0.0
DaviCo03,2018,WR,112,65,891,13.71,4,58.0%,7.96,6.0,55.0,9.17,0.0,1,0,0,0,0,0,0.883125
WillMi07,2018,WR,66,43,664,15.44,10,65.2%,10.06,7.0,28.0,4.0,1.0,,,,,,,0.6168750000000001
RossJo00,2018,WR,58,21,210,10.00,7,36.2%,3.62,4,9,2.25,0,,,,,,,0.61375
JoneZa00,2018,WR,102,56,652,11.64,7,54.9%,6.39,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.891875
SamuCu00,2018,WR,65,39,494,12.67,5,60.0%,7.60,8,84,10.50,2,1,1,0,0,0,0,0.429375
SmitJu00,2018,WR,166,111,1426,12.85,7,66.9%,8.59,1.0,13.0,13.0,0.0,1,1,0,1,0,0,0.860625
KuppCo00,2018,WR,55,40,566,14.15,6,72.7%,10.29,4,25,6.25,0,,,,,,,0.41624999999999995
TaylTa00,2018,WR,56,37,466,12.59,1,66.1%,8.32,,,,,1,1,0,0,0,0,0.4625
StewAr00,2018,WR,,,,,,,,,,,,,,,,,,0.0
HendCa01,2018,WR,,,,,,,,,,,,,,,,,,
GodwCh00,2018,WR,95,59,842,14.27,7,62.1%,8.86,,,,,4,1,0,1,0,0,0.6425000000000001
GollKe00,2018,WR,119,70,1063,15.19,5,58.8%,8.93,1,8,8.00,0,1,0,0,2,0,0,0.845
WillCh05,2018,WR,46,17,171,10.06,1,37.0%,3.72,1,9,9.00,0,,,,,,,0.474375
DarbAm00,2018,WR,,,,,,,,,,,,,,,,,,
WestDe00,2018,WR,101,66,717,10.86,5,65.3%,7.1,9.0,98.0,10.89,0.0,3,2,0,0,0,0,0.78125
ReynJo00,2018,WR,53,29,402,13.86,5,54.7%,7.58,2.0,8.0,4.0,0.0,,,,,,,0.538125
HollMa00,2018,WR,,,,,,,,,,,,,,,,,,
MaloJo00,2018,WR,5,1,12,12.00,0,20.0%,2.40,,,,,,,,,,,0.06875
SwitRy00,2018,WR,44,36,253,7.03,1,81.8%,5.75,6.0,21.0,3.5,0.0,2,0,0,1,0,0,0.27312499999999995
ChesJe00,2018,WR,2,1,7,7.0,0,50.0%,3.5,1.0,-4.0,-4.0,0.0,,,,,,,0.01
HansCh00,2018,WR,,,,,,,,,,,,,,,,,,0.0
GibsSh00,2018,WR,3,1,48,48.00,0,33.3%,16.00,,,,,,,,,,,0.055
AdamRo01,2018,WR,,,,,,,,,,,,,,,,,,
McKeIs00,2018,WR,30,18,179,9.94,0,60.0%,5.97,10,66,6.60,2,2,1,0,1,0,0,0.335
YancDe00,2018,WR,,,,,,,,,,,,,,,,,,
TaylTr02,2018,WR,41,26,215,8.27,1,63.4%,5.24,,,,,1,0,0,1,0,0,0.295625
DaviRo00,2018,WR,,,,,,,,,,,,,,,,,,
ColeSt00,2018,WR,,,,,,,,,,,,1,0,0,1,0,0,0.043333333333333335
MoorDa03,2018,WR,53,26,445,17.12,5,49.1%,8.4,1.0,5.0,5.0,0.0,2,0,1,1,0,0,0.5706249999999999
FordIs00,2018,WR,,,,,,,,,,,,,,,,,,0.048
BrowNo00,2018,WR,8,5,54,10.80,0,62.5%,6.75,,,,,,,,,,,0.093125
DuprMa01,2018,WR,,,,,,,,,,,,,,,,,,0.08
DaviCo03,2019,WR,69,43,601,13.98,2,62.3%,8.71,,,,,1,0,0,0,0,0,0.709375
WillMi07,2019,WR,90,49,1001,20.43,2,54.4%,11.12,1,2,2.00,0,,,,,,,0.7962499999999999
RossJo00,2019,WR,56,28,506,18.07,3,50.0%,9.04,3,4,1.33,0,1,1,0,0,0,0,0.355
JoneZa00,2019,WR,45,27,216,8.00,0,60.0%,4.80,1,3,3.00,0,,,,,,,0.589375
SamuCu00,2019,WR,105,54,627,11.61,6,51.4%,5.97,19.0,130.0,6.84,1.0,0,0,0,1,0,0,0.8556250000000001
SmitJu00,2019,WR,70,42,552,13.14,3,60.0%,7.89,,,,,1,1,0,1,0,0,0.580625
KuppCo00,2019,WR,134,94,1161,12.35,10,70.1%,8.66,2.0,4.0,2.0,0.0,3,0,0,0,0,0,0.8056249999999999
TaylTa00,2019,WR,,,,,,,,,,,,,,,,,,0.026875000000000003
StewAr00,2019,WR,,,,,,,,,,,,,,,,,,
HendCa01,2019,WR,,,,,,,,,,,,,,,,,,
GodwCh00,2019,WR,120,86,1333,15.50,9,71.7%,11.11,1,8,8.00,0,,,,,,,0.808125
GollKe00,2019,WR,116,65,1190,18.31,11,56.0%,10.26,,,,,1,1,0,0,0,0,0.861875
WillCh05,2019,WR,,,,,,,,,,,,,,,,,,0.025
DarbAm00,2019,WR,,,,,,,,,,,,,,,,,,0.0
WestDe00,2019,WR,101,66,660,10.00,3,65.3%,6.53,5,27,5.40,0,1,0,0,2,0,0,0.69125
ReynJo00,2019,WR,43,21,326,15.52,1,48.8%,7.58,5.0,23.0,4.6,0.0,,,,,,,0.443125
HollMa00,2019,WR,23.0,10.0,125.0,12.5,0.0,43.5%,5.43,,,,,,,,,,,0.36062500000000003
