,Unnamed: 0.1,Unnamed: 0,Player,Tm,Pos,Rk,Age,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Win,Loss,Att_R,Yds_R,TD_R,1D_R,Lng_R,Y/A_R,Y/G_R,Fmb_R,Year,Rookie,Vet,Con_Len,Con_Sal,Cap,%Cap,New_Con_Len,New_Perc_Cap,Con_Yrs_Lft
0,0,0,Drew Brees,NOR,QB,-1.669583969,1.86167204,1.054301571,1.060683713,1.758727752,1.490143424,1.444497856,1.669963883,1.948165506,0.866498144,1.297752196,-0.125564722,1.770818188,2.035372478,0.701781272,0.772477249,-0.149631753,1.601297007,1.091740122,0.986144248,0.476116201,0.556794801,-0.714098394,0.95998631,0.94649744,0.36932244,1.31240997,0.562707037,1.307254917,-0.00255315,-0.542724921,0.645995092,0.008708568,-0.493345753,-0.554148784,-0.607535249,0.226462814,2016,0,1,1,24250000,155270000,0.156179558,0,0.145209581,0
1,1,1,Matt Ryan,ATL,QB,-1.607148003,0.503154605,1.054301571,1.060683713,1.094924367,0.877232221,1.427784146,1.512963909,2.034113984,1.710527904,-0.079714508,-0.587871199,1.470641825,0.818451238,2.17347792,2.259945067,1.46639118,1.395183974,2.085708904,1.691831073,1.202395152,1.107194256,0.092493839,1.919142613,2.081005154,-0.200489325,0.238619995,1.542906391,0.090155512,0.502970572,0.199219334,-0.626711656,0.698427171,0.509928804,0.347054166,-0.039718495,-0.040439788,2016,0,1,5,103750000,155270000,0.133638179,0,0.124251497,1
2,2,2,Kirk Cousins,WAS,QB,-1.544712037,-0.176104112,1.054301571,1.060683713,1.318449997,1.194711406,0.943086558,1.496907093,0.916783767,0.127972105,0.781202182,-0.228299495,1.314550116,1.039709645,1.069705434,0.901822276,0.584924126,1.373948086,0.801294699,0.969604713,0.185604621,0.621547678,-0.77614395,1.264764948,1.062526638,1.508945969,1.31240997,0.807756875,0.698705214,0.460843595,0.038592227,1.91870184,0.813380271,0.601135582,0.159303552,-0.162745458,1.29407322,2016,0,1,1,19953000,155270000,0.128505185,1,0.14337485,0
3,3,3,Aaron Rodgers,GNB,QB,-1.482276072,0.95599375,1.054301571,1.060683713,1.284582477,1.212349138,0.725808329,1.206100322,2.20601094,1.446768604,-0.079714508,-0.690605972,1.302543062,0.26530522,0.33385711,0.96649479,-0.223087341,0.992951269,1.25309869,1.294882234,1.057139362,1.225907864,-0.248756721,0.332500878,0.92715924,-0.770301089,0.238619995,1.297856553,0.394430363,1.851033831,2.126744613,1.91870184,2.192817476,0.965962694,1.17315687,1.455532289,1.027170618,2016,0,1,5,110000000,155270000,0.141688671,0,0.131736527,1
4,4,4,Philip Rivers,SDG,QB,-1.419840106,1.408832895,1.054301571,1.060683713,0.932360273,1.071247278,-0.160018297,1.181123054,1.604371593,0.972001864,2.330852224,0.593578686,1.170465462,-0.121896993,0.609800231,0.319769652,0.952202065,0.959223682,0.201040824,0.539576804,1.129767257,0.599963386,-0.09364283,0.655207672,0.366351449,-0.200489325,-0.298274993,0.07260736,1.91580462,-0.381695942,-0.427991273,-0.626711656,-0.451103833,-0.21972542,0.046653183,-0.522362736,1.29407322,2016,0,1,4,83250000,155270000,0.134040703,0,0.124625749,2
5,5,5,Matthew Stafford,DET,QB,-1.357404141,-0.176104112,1.054301571,1.060683713,1.196526926,1.141798208,0.65895349,1.146035938,0.830835289,0.075220245,0.436835506,-0.382401654,1.206486626,0.652507432,0.33385711,0.44911468,-0.076176165,0.913004395,0.549575332,0.897933395,1.202395152,0.902143478,-0.09364283,0.368357189,0.488826714,3.788193027,3.45998992,1.052806714,0.698705214,0.587224526,0.887621219,0.645995092,1.043286472,1.057169472,1.210706993,0.490243808,-0.30734239,2016,0,1,3,53000000,155270000,0.113780297,5,0.161676647,0
6,6,6,Joe Flacco,BAL,QB,-1.294968175,0.503154605,1.054301571,1.060683713,1.521655115,1.485733991,0.59209865,1.140088969,0.487041376,-0.452298355,1.297752196,-0.125564722,1.038387862,1.869428672,-0.493972254,-0.391628001,-1.031098808,0.905509376,-0.082950257,0.197759748,0.911883572,1.193531425,-0.465916168,-0.294984553,-0.265363073,0.36932244,0.238619995,0.807756875,1.002980066,-0.086807104,-0.252066347,0.645995092,-0.106244532,0.327515248,0.159303552,-0.38987216,0.226462814,2016,0,1,3,66400000,155270000,0.142547391,0,0.13253493,2
7,7,7,Andrew Luck,IND,QB,-1.232532209,-0.402523684,0.863892592,0.897965189,0.912039761,0.925735986,0.358106711,1.09429731,1.432474636,0.972001864,0.95338552,-0.022829949,1.062401971,0.154676016,0.793762312,0.772477249,0.731835301,1.066652292,0.749659957,0.936525643,1.492906733,1.46333508,0.247607729,0.601423206,0.669316578,1.508945969,1.31240997,0.807756875,0.698705214,1.724652901,1.912575138,0.645995092,1.503098873,1.878030473,1.098056625,1.417677839,0.493365415,2016,0,1,5,122970000,155270000,0.158395054,0,0.138792325,4
8,8,8,Carson Palmer,ARI,QB,-1.170096244,1.86167204,0.863892592,0.897965189,1.033962832,1.155026508,-0.059736037,1.090134432,1.002732246,0.286227685,1.125568858,-0.074197336,1.230500735,1.039709645,0.149895029,0.190424624,0.217646186,1.060406443,0.155860425,0.219812462,1.420278838,1.60363298,0.030448282,0.081506706,0.147185186,-0.200489325,0.775514982,0.317657198,1.002980066,-0.381695942,-0.405044544,-0.626711656,-0.451103833,0.327515248,0.121753429,-0.493971898,2.628586228,2016,0,1,1,24350000,155270000,0.156823598,0,0.145808383,0
9,9,9,Russell Wilson,SEA,QB,-1.107660278,-0.176104112,1.054301571,1.060683713,0.959454288,0.930145419,0.55867123,1.081808676,0.572989855,-0.030283475,0.609018844,-0.228299495,0.906310263,-0.121896993,0.701781272,0.643132221,0.511468538,0.829310013,0.504394933,0.451365951,1.492906733,1.733138734,0.247607729,0.520746508,0.488826714,1.508945969,0.775514982,1.297856553,0.090155512,2.061668716,1.285364531,0.009641718,1.273192673,0.509928804,0.459704535,0.802543023,1.027170618,2016,0,1,4,87600000,155270000,0.141044632,0,0.131137725,2
