Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
1,1,CLE,Baker Mayfield,QB,23,2022,0,0,4,72,1386,2259,16288,102,64,189,660,6,1,17,0,1,,
1,2,NYG,Saquon Barkley,RB,21,2022,0,2,3,60,0,0,0,0,0,954,4249,29,247,1820,8,,,
1,3,NYJ,Sam Darnold,QB,21,2022,0,0,4,56,1054,1765,11767,61,55,188,745,12,0,0,0,,,
1,4,CLE,Denzel Ward,CB,21,2022,0,2,4,66,0,0,0,0,0,0,0,0,0,0,0,193,13,0.5
1,5,DEN,Bradley Chubb,DE,22,2022,0,1,2,57,0,0,0,0,0,0,0,0,0,0,0,112,1,28.5
1,6,IND,Quenton Nelson,G,22,2022,3,5,4,78,0,0,0,0,0,1,0,0,0,0,0,1,,
1,7,BUF,Josh Allen,QB,22,2022,0,3,4,77,1604,2566,18397,138,60,546,3087,38,1,12,1,4,,
1,8,CHI,Roquan Smith,ILB,21,2022,1,1,4,78,0,0,0,0,0,0,0,0,0,0,0,451,8,18.5
1,9,SFO,Mike McGlinchey,T,23,2022,0,0,3,69,0,0,0,0,0,0,0,0,0,0,0,,,
1,10,ARI,Josh Rosen,QB,21,2021,0,0,1,24,277,513,2864,12,21,26,151,0,0,0,0,,,
1,11,MIA,Minkah Fitzpatrick,S,21,2022,3,3,3,79,0,0,0,0,0,0,0,0,0,0,0,295,19,
1,12,TAM,Vita Vea,DT,23,2022,0,1,2,64,0,0,0,0,0,0,0,0,1,1,1,83,,18
1,13,WAS,Daron Payne,DT,21,2022,0,0,4,81,0,0,0,0,0,0,0,0,0,0,0,161,1,26
1,14,NOR,Marcus Davenport,DE,22,2022,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,78,,21.5
1,15,OAK,Kolton Miller,T,22,2022,0,0,4,79,0,0,0,0,0,0,0,0,0,0,0,,,
1,16,BUF,Tremaine Edmunds,ILB,20,2022,0,2,4,74,0,0,0,0,0,0,0,0,0,0,0,359,5,6.5
1,17,LAC,Derwin James,S,22,2022,1,3,2,50,0,0,0,0,0,0,0,0,0,0,0,237,7,9.5
1,18,GNB,Jaire Alexander,CB,21,2022,0,2,3,64,0,0,0,0,0,0,0,0,0,0,0,203,10,1.5
1,19,DAL,Leighton Vander Esch,OLB,22,2022,0,1,4,66,0,0,0,0,0,0,0,0,0,0,0,279,3,3.5
1,20,DET,Frank Ragnow,C,22,2022,0,2,3,65,0,0,0,0,0,0,0,0,0,0,0,1,,
1,21,CIN,Billy Price,C,23,2022,0,0,2,69,0,0,0,0,0,0,0,0,0,0,0,2,,
1,22,TEN,Rashaan Evans,ILB,22,2022,0,0,3,76,0,0,0,0,0,0,0,0,0,0,0,282,2,5
