Player,Year,Pos,P_Cmp,P_Att,P_Cmp%,P_Yds,P_TD,P_Int,P_Rate,P_Sk,P_SkYd,P_Y/A,P_AY/A,R_Att,R_Yds,R_Y/A,R_TD,F_Fmb,F_Fl,F_FF,F_FR,F_Yds,F_TD
TrubMi00,2017,QB,196,330,59.39,2193,7,7,77.5,31,196,6.65,6.12,41,248,6.05,2,10,3,0,6,-13,0
MahoPa00,2017,QB,22,35,62.86,284,0,1,76.4,2,15,8.11,6.83,7,10,1.43,0,0,0,0,1,0,0
WatsDe00,2017,QB,126,204,61.76,1699,19,8,103.0,19,116,8.33,8.43,36,269,7.47,2,3,1,0,0,0,0
KizeDe00,2017,QB,255,476,53.57,2894,11,22,60.5,38,226,6.08,4.46,77,419,5.44,5,9,6,0,2,-14,0
BeatC.00,2017,QB,123,224,54.91,1430,4,6,69.2,19,141,6.38,5.54,26,136,5.23,3,3,2,0,1,0,0
PeteNa00,2017,QB,24,49,48.98,252,2,5,38.4,1,5,5.14,1.37,7,23,3.29,0,2,0,0,2,-6,0
TrubMi00,2018,QB,289,434,66.59,3223,24,12,95.4,24,143,7.43,7.29,68,421,6.19,3,6,3,0,1,-8,0
MahoPa00,2018,QB,383,580,66.03,5097,50,12,113.8,26,171,8.79,9.58,60,272,4.53,2,9,2,0,5,-4,0
WatsDe00,2018,QB,345,505,68.32,4165,26,9,103.1,62,384,8.25,8.48,99,551,5.57,5,9,3,0,3,-25,0
KizeDe00,2018,QB,20,42,47.62,187,0,2,40.5,4,38,4.45,2.31,5,39,7.80,0,1,1,0,0,0,0
BeatC.00,2018,QB,102,169,60.36,1252,8,7,81.8,18,156,7.41,6.49,19,69,3.63,1,5,3,0,2,-4,0
TrubMi00,2019,QB,326,516,63.18,3138,17,10,83.0,38,234,6.08,5.87,48,193,4.02,2,5,2,0,3,-10,0
MahoPa00,2019,QB,319,484,65.91,4031,26,5,105.3,17,127,8.33,8.94,43,218,5.07,2,3,2,0,1,0,0
WatsDe00,2019,QB,333,495,67.27,3852,26,12,98.0,44,257,7.78,7.74,82,413,5.04,7,10,3,0,5,-3,0
TrubMi00,2020,QB,199,297,67.00,2055,16,8,93.5,18,125,6.92,6.78,33,195,5.91,1,6,2,0,3,-1,0
MahoPa00,2020,QB,390,588,66.33,4740,38,6,108.2,22,147,8.06,8.89,62,308,4.97,2,5,2,0,2,-10,0
WatsDe00,2020,QB,382,544,70.22,4823,33,7,112.4,49,293,8.87,9.5,90,444,4.93,3,8,3,0,2,-13,0
BeatC.00,2020,QB,66,104,63.46,787,6,0,105.7,9,71,7.57,8.72,6,28,4.67,0,3,3,0,0,0,0
